flags,source_doc_id,source_element_id,source_type,target_doc_id,target_element_id,target_type,score,score2,margin12,text_jaccard,caption_jaccard,target_top1_indegree,source_caption,target_caption
hub_target,1409.0575,1409.0575_figure_15,figure,1804.06876,1804.06876_figure_2,figure,0.915147,0.902622,0.012525,0.6,0.0,10,Image classification,Type 2
hub_target,1808.08166,1808.08166_figure_1,figure,1610.02413,1610.02413_figure_18,figure,0.9136,0.913843,-0.000243,0.058252,0.047619,6,"Figure 1: Fairness Gerrymandering: A Toy Example [Kearns et al., 2018]","We proposed a fairness measure that accomplishes two important desiderata. First, it remedies the main conceptual shortcomings of demographic parity as a fairness notion. Second, it is fully"
high_score_low_overlap,1803.04383,1803.04383_figure_4,figure,1610.02413,1610.02413_figure_14,figure,0.910711,0.908502,0.002209,0.055556,0.0,3,Figure 4: The empirical payback rates as a function of credit score and CDF for both groups from the TransUnion TransRisk dataset.,1http://www.creditscoring.com/pages/bar.htm (Accessed: 2016-09-20)
hub_target,1906.02589,1906.02589_figure_10,figure,2005.07293,2005.07293_figure_8,figure,0.910203,0.873628,0.036575,1.0,0.0,6,(c) a = P,(c) β = 0.9
hub_target,1611.07509,1611.07509_figure_2,figure,1611.07438,1611.07438_figure_1,figure,0.905899,0.898942,0.006957,0.091954,0.1,6,Figure 2: An example with the recanting witness criterion satisfied.,Figure 1: Causal graph of an example university admission system.
low_top1_margin,1804.06876,1804.06876_figure_2,figure,1910.10872,1910.10872_figure_51,figure,0.90276,0.934738,-0.031978,0.5,0.0,1,Type 2,(b) Error Type-2 Weighted
hub_target,1804.09301,1804.09301_table_2,table,1804.06876,1804.06876_table_1,table,0.902626,0.880899,0.021727,0.103448,0.055556,6,"Table 2: System accuracy $( \% )$ bucketed by gender and difficulty (so-called “gotchas,” shaded in purple). For female pronouns, a “gotcha” sentence is one where either (1) the correct answer is OCCUPATION but the oc...","Table 1: Occupations statistics used in WinoBias dataset, organized by the percent of people in the occupation who are reported as female. When woman dominate profession, we call linking the noun phrase referring to t..."
hub_target,1802.08139,1802.08139_figure_7,figure,1611.07438,1611.07438_figure_1,figure,0.90199,0.897469,0.004521,0.098901,0.043478,6,Figure 7. (a): GCM with an unobserved confounder $C$ indicated with a gray node. (b): ADMG corresponding to (a). The causal effect along the green path $A Y$ cannot be identified by only using observed variables.,Figure 1: Causal graph of an example university admission system.
hub_target,2005.07293,2005.07293_figure_4,figure,1610.02413,1610.02413_figure_18,figure,0.900563,0.882383,0.01818,0.09,0.086957,6,Figure 4: Human ratings of equity and parity notions of fairness in different scenarios.,"We proposed a fairness measure that accomplishes two important desiderata. First, it remedies the main conceptual shortcomings of demographic parity as a fairness notion. Second, it is fully"
hub_target,1906.02589,1906.02589_figure_19,figure,2005.07293,2005.07293_figure_8,figure,0.900107,0.858673,0.041434,0.75,0.0,6,(c) $a = \mathbf { M }$,(c) β = 0.9
hub_target,1805.11202,1805.11202_figure_21,figure,1809.10083,1809.10083_figure_1,figure,0.899807,0.86776,0.032047,0.088235,0.0,10,"(i) SYN3-NFGANII: $P _ { \bf d a t a } ( { \bf x } , y | s = 0 )$ vs. $P _ { G } ( \mathbf { x } , y | s = 0 )$",(b) Figure 1: (a) Unsupervised Invariance Induction Framework and (b) Adversarial Model Design
hub_target,1809.02208,1809.02208_table_4,table,1804.06876,1804.06876_table_1,table,0.899419,0.910866,-0.011447,0.077922,0.027027,6,Table 4: A randomly selected example subset of thirty occupations obtained from our dataset with a total of 1019 different occupations.,"Table 1: Occupations statistics used in WinoBias dataset, organized by the percent of people in the occupation who are reported as female. When woman dominate profession, we call linking the noun phrase referring to t..."
hub_target,1906.02589,1906.02589_figure_23,figure,2005.07293,2005.07293_figure_8,figure,0.898943,0.86334,0.035603,1.0,0.0,6,(d) a = C ∧ E,(c) β = 0.9
hub_target,1805.11202,1805.11202_figure_17,figure,1809.10083,1809.10083_figure_1,figure,0.898129,0.874688,0.023441,0.085714,0.0,10,"(e) SYN2-NFGANI: $P _ { \mathrm { d a t a } } ( \mathbf { x } , y | s = 1 )$ vs. $P _ { G } ( \mathbf { x } , y | s = 1 )$",(b) Figure 1: (a) Unsupervised Invariance Induction Framework and (b) Adversarial Model Design
hub_target,1910.10872,1910.10872_figure_18,figure,1804.06876,1804.06876_figure_2,figure,0.898094,0.843454,0.05464,0.428571,0.0,10,(b) Error Type-2 Unweightedfemale male,Type 2
hub_target,1906.02589,1906.02589_figure_24,figure,2005.07293,2005.07293_figure_8,figure,0.897667,0.882867,0.0148,1.0,0.0,6,(e) a = C ∧¬ E,(c) β = 0.9
hub_target,1805.11202,1805.11202_figure_20,figure,1809.10083,1809.10083_figure_1,figure,0.897234,0.854602,0.042632,0.085714,0.0,10,"(h) SYN3-NFGANII: $P _ { \mathrm { d a t a } } ( \mathbf { x } , y | s = 1 )$ vs. $P _ { G } ( \mathbf { x } , y | s = 1 )$ )",(b) Figure 1: (a) Unsupervised Invariance Induction Framework and (b) Adversarial Model Design
hub_target,1805.11202,1805.11202_figure_1,figure,1610.02413,1610.02413_figure_18,figure,0.896484,0.904424,-0.00794,0.095238,0.0,6,Figure 1: Illustration of generative adversarial networks,"We proposed a fairness measure that accomplishes two important desiderata. First, it remedies the main conceptual shortcomings of demographic parity as a fairness notion. Second, it is fully"
hub_target,1910.10872,1910.10872_figure_10,figure,1409.0575,1409.0575_figure_52,figure,0.895216,0.846679,0.048537,0.5,0.0,10,Large Spacy,spacebar (23)
hub_target,1809.02208,1809.02208_figure_13,figure,1804.09301,1804.09301_figure_3,figure,0.894765,0.888966,0.005799,0.088889,0.073529,6,Figure 13: Women participation ( $\%$ ) data obtained from the U.S. Bureau of Labor Statistics allows us to assess whether the Google Translate bias towards male defaults is at least to some extent explained by small...,"Figure 3: Gender statistics from Bergsma and Lin (2006) correlate with Bureau of Labor Statistics 2015. However, the former has systematically lower female percentages; most points lie well below the 45-degree line (d..."
hub_target,1802.08139,1802.08139_figure_19,figure,1611.07438,1611.07438_figure_1,figure,0.894712,0.866138,0.028574,0.108108,0.0,6,Path-Specific Counterfactual Fairness,Figure 1: Causal graph of an example university admission system.
hub_target,1910.10872,1910.10872_figure_26,figure,1409.0575,1409.0575_figure_52,figure,0.894601,0.847217,0.047384,0.5,0.0,10,Large Spacy,spacebar (23)
hub_target,1910.10872,1910.10872_figure_27,figure,1409.0575,1409.0575_figure_52,figure,0.894601,0.847217,0.047384,0.5,0.0,10,Large Spacy,spacebar (23)
hub_target,1409.0575,1409.0575_figure_51,figure,1804.06876,1804.06876_figure_2,figure,0.894574,0.88251,0.012064,0.75,0.0,10,pole (27),Type 2
hub_target,1802.08139,1802.08139_figure_11,figure,1611.07438,1611.07438_figure_1,figure,0.894442,0.887246,0.007196,0.119048,0.0,6,"2We omit race, and capital gain and loss (although including capital gain and loss would increase test accuracy from $8 2 . 9 \%$ to $8 4 . 7 \%$ ) to use the same attributes as in Nabi & Shpitser (2018).",Figure 1: Causal graph of an example university admission system.
hub_target,1703.06856,1703.06856_figure_2,figure,1611.07438,1611.07438_figure_1,figure,0.893677,0.892804,0.000873,0.089888,0.05,6,Figure 2: Left: A causal model for the problem of predicting law school success fairly. Right: Density plots of predicted $\mathrm { F Y A } _ { a }$ and $\mathrm { F Y A } _ { a ^ { \prime } }$ .,Figure 1: Causal graph of an example university admission system.
low_top1_margin,1804.09301,1804.09301_figure_4,figure,1809.02208,1809.02208_figure_4,figure,0.893486,0.923086,-0.0296,0.09,0.013158,2,Figure 4: These two plots show how gender bias in coreference systems corresponds with occupational gender statistics from the U.S Bureau of Labor Statistics (left) and from text as computed by Bergsma and Lin (2006)...,"Figure 4: The scarcity of gender-neutral pronouns is manifest in their histogram. Once again, STEM fields are predominantly concentrated at $X = 0$ ."
hub_target,1809.02208,1809.02208_figure_4,figure,1804.09301,1804.09301_figure_4,figure,0.893486,0.88382,0.009666,0.09,0.013158,7,"Figure 4: The scarcity of gender-neutral pronouns is manifest in their histogram. Once again, STEM fields are predominantly concentrated at $X = 0$ .",Figure 4: These two plots show how gender bias in coreference systems corresponds with occupational gender statistics from the U.S Bureau of Labor Statistics (left) and from text as computed by Bergsma and Lin (2006)...
hub_target,1910.10872,1910.10872_figure_20,figure,1409.0575,1409.0575_figure_52,figure,0.893155,0.875946,0.017209,0.5,0.0,10,Small Spacy,spacebar (23)
hub_target,1910.10872,1910.10872_figure_21,figure,1409.0575,1409.0575_figure_52,figure,0.893155,0.875946,0.017209,0.5,0.0,10,Small Spacy,spacebar (23)
hub_target,1910.10872,1910.10872_figure_22,figure,1409.0575,1409.0575_figure_52,figure,0.893155,0.875946,0.017209,0.5,0.0,10,Small Spacy,spacebar (23)
hub_target,1805.11202,1805.11202_figure_18,figure,1809.10083,1809.10083_figure_1,figure,0.892328,0.875723,0.016605,0.088235,0.0,10,"(f) SYN2-NFGANI: $P _ { \bf d a t a } ( { \bf x } , y | s = 0 )$ vs. $P _ { G } ( \mathbf { x } , y | s = 0 )$",(b) Figure 1: (a) Unsupervised Invariance Induction Framework and (b) Adversarial Model Design
hub_target,1805.11202,1805.11202_figure_19,figure,1809.10083,1809.10083_figure_1,figure,0.89197,0.86236,0.02961,0.085714,0.0,10,"(g) SYN3-NFGANII: $\bar { P } _ { \mathbf { d a t a } } ( \mathbf { x } , y )$ vs. $P _ { G } ( \mathbf { x } , y )$",(b) Figure 1: (a) Unsupervised Invariance Induction Framework and (b) Adversarial Model Design
hub_target,1809.02208,1809.02208_figure_7,figure,1804.09301,1804.09301_figure_4,figure,0.891865,0.880903,0.010962,0.111111,0.088235,7,"Figure 7: Bar plots show how much of the distribution of translated gender pronouns for each occupation category (grouped as in Table 7) is composed of female, male and neutral terms. Legal and STEM fields exhibit a p...",Figure 4: These two plots show how gender bias in coreference systems corresponds with occupational gender statistics from the U.S Bureau of Labor Statistics (left) and from text as computed by Bergsma and Lin (2006)...
hub_target,1409.0575,1409.0575_figure_90,figure,1804.06876,1804.06876_figure_2,figure,0.891092,0.852817,0.038275,0.6,0.0,10,Amount of texture,Type 2
hub_target,1910.10872,1910.10872_figure_19,figure,1804.06876,1804.06876_figure_2,figure,0.890699,0.886336,0.004363,0.428571,0.0,10,(c) Error Type-3 Unweightedfemale male,Type 2
hub_target,1805.11202,1805.11202_figure_15,figure,1809.10083,1809.10083_figure_1,figure,0.889622,0.846003,0.043619,0.088235,0.0,10,"(c) SYN1-GAN: $P _ { \bf d a t a } ( { \bf x } , y | s = 0 )$ vs. $P _ { G } ( \mathbf { x } , y | s = 0 )$",(b) Figure 1: (a) Unsupervised Invariance Induction Framework and (b) Adversarial Model Design
hub_target,1910.10872,1910.10872_figure_7,figure,1409.0575,1409.0575_figure_52,figure,0.889476,0.874729,0.014747,0.5,0.0,10,Medium Spacy,spacebar (23)
hub_target,1910.10872,1910.10872_figure_23,figure,1409.0575,1409.0575_figure_52,figure,0.889363,0.874563,0.0148,0.5,0.0,10,Medium Spacy,spacebar (23)
hub_target,1910.10872,1910.10872_figure_24,figure,1409.0575,1409.0575_figure_52,figure,0.889363,0.874563,0.0148,0.5,0.0,10,Medium Spacy,spacebar (23)
hub_target,1910.10872,1910.10872_figure_25,figure,1409.0575,1409.0575_figure_52,figure,0.889363,0.874563,0.0148,0.5,0.0,10,Medium Spacy,spacebar (23)
hub_target,1805.11202,1805.11202_figure_16,figure,1809.10083,1809.10083_figure_1,figure,0.887718,0.85678,0.030938,0.085714,0.0,10,"(d) SYN2-NFGANI: $P _ { \mathrm { d a t a } } ( \mathbf { x } , y )$ vs. $P _ { G } ( \mathbf { x } , y )$",(b) Figure 1: (a) Unsupervised Invariance Induction Framework and (b) Adversarial Model Design
hub_target,1805.11202,1805.11202_figure_14,figure,1809.10083,1809.10083_figure_1,figure,0.886586,0.843093,0.043493,0.085714,0.0,10,"(b) SYN1-GAN:$P _ { \mathrm { d a t a } } ( \mathbf { x } , y | s = 1 )$ vs.$P _ { G } ( \mathbf { x } , y | s = 1 )$ )",(b) Figure 1: (a) Unsupervised Invariance Induction Framework and (b) Adversarial Model Design
hub_target,1805.11202,1805.11202_figure_2,figure,1809.10083,1809.10083_figure_1,figure,0.886509,0.860287,0.026222,0.067797,0.0,10,Figure 2: The Structure of FairGAN,(b) Figure 1: (a) Unsupervised Invariance Induction Framework and (b) Adversarial Model Design
hub_target,1809.02208,1809.02208_table_12,table,1804.06876,1804.06876_table_1,table,0.885739,0.875623,0.010116,0.119048,0.052632,6,"Table 12: Number of female, male and neutral pronominal genders in the translated sentences for each selected adjective.","Table 1: Occupations statistics used in WinoBias dataset, organized by the percent of people in the occupation who are reported as female. When woman dominate profession, we call linking the noun phrase referring to t..."
hub_target,1906.02589,1906.02589_figure_30,figure,2005.07293,2005.07293_figure_8,figure,0.885648,0.842658,0.04299,1.0,0.0,6,(k) a = ¬ C ∧¬ M,(c) β = 0.9
hub_target,1809.02208,1809.02208_figure_8,figure,1804.09301,1804.09301_figure_4,figure,0.885428,0.876429,0.008999,0.113402,0.072289,7,"Figure 8: Heatmap for the translation probability into female pronouns for each pair of language and occupation category. Probabilities range from 0% (blue) to $1 0 0 \%$ (red), and both axes are sorted in such a way...",Figure 4: These two plots show how gender bias in coreference systems corresponds with occupational gender statistics from the U.S Bureau of Labor Statistics (left) and from text as computed by Bergsma and Lin (2006)...
hub_target,1910.10872,1910.10872_figure_46,figure,1804.09301,1804.09301_figure_4,figure,0.884669,0.880688,0.003981,0.052174,0.014493,7,(a) Error Type-1 Weightedfemale male,Figure 4: These two plots show how gender bias in coreference systems corresponds with occupational gender statistics from the U.S Bureau of Labor Statistics (left) and from text as computed by Bergsma and Lin (2006)...
low_top1_margin,1810.08683,1810.08683_table_2,table,1905.10674,1905.10674_table_2,table,0.884368,0.922459,-0.038091,0.101266,0.085106,3,Table 2: COMPAS dataset: statistics with reference to the sensitive features. Table 3: Adult Dataset: confusion matrices in percentage (true class in columns and predicted classes in rows) obtained by predicting Gende...,Table 2. Ability to predict sensitive attributes on the MovieLens data when using various embedding approaches. For gender attribute the score is AUC while for age and occupation attributes the score is micro averaged...
hub_target,1801.07593,1801.07593_figure_3,figure,1611.07438,1611.07438_figure_2,figure,0.881982,0.907043,-0.025061,0.054348,0.0,6,"Note that, in this proof, the adversary can be operating in a few different ways, as long as it is given $\hat { Y }$ as one of its inputs; for example, for demographic parity, it could be given only $\hat { Y }$ ; for e","Figure 2: Causal graph for Adult dataset: the red node represents the protected attribute, the blue node represents the decision, the green nodes represent set Q."
hub_target,1809.02208,1809.02208_figure_9,figure,1804.09301,1804.09301_figure_4,figure,0.880871,0.872498,0.008373,0.106796,0.072289,7,"Figure 9: Heatmap for the translation probability into male pronouns for each pair of language and occupation category. Probabilities range from 0% (blue) to $1 0 0 \%$ (red), and both axes are sorted in such a way th...",Figure 4: These two plots show how gender bias in coreference systems corresponds with occupational gender statistics from the U.S Bureau of Labor Statistics (left) and from text as computed by Bergsma and Lin (2006)...
hub_target,1610.02413,1610.02413_figure_6,figure,1611.07438,1611.07438_figure_1,figure,0.879973,0.886187,-0.006214,0.079545,0.055556,6,Figure 6: Two possible directed dependency structures for the variables in scenarios I and II. The undirected (infrastructure graph) versions of both graphs are also possible.,Figure 1: Causal graph of an example university admission system.
low_top1_margin,1808.08166,1808.08166_figure_22,figure,1805.11202,1805.11202_figure_4,figure,0.879622,0.92264,-0.043018,0.066667,0.0,5,(a),"(e) SYN4-FairGAN Figure 4: Dimension-wise conditional probability distributions $P ( \mathbf { x } , y | s = 1 )$ vs. $P ( \mathbf { x } , y | s = 0 )$ ). Each dot represents one attribute. The $\mathbf { x }$ -axis r..."
hub_target,1906.02589,1906.02589_figure_29,figure,2005.07293,2005.07293_figure_8,figure,0.879258,0.842116,0.037142,1.0,0.0,6,(j) a = ¬ C ∧ M,(c) β = 0.9
low_top1_margin,1703.06856,1703.06856_formula_2,formula,1610.02413,1610.02413_formula_4,formula,0.878291,0.906937,-0.028646,0.076923,0.0,2,,
hub_target,2109.03952,2109.03952_figure_8,figure,1610.02413,1610.02413_figure_18,figure,0.877439,0.865267,0.012172,0.076923,0.025641,6,Top Problematic Features from Health Figure 8: Top three features for each fairness definition removing which caused the most benefit in improving the corresponding fairness definition. The percentage of improvement u...,"We proposed a fairness measure that accomplishes two important desiderata. First, it remedies the main conceptual shortcomings of demographic parity as a fairness notion. Second, it is fully"
hub_target,1809.02208,1809.02208_figure_3,figure,1804.09301,1804.09301_figure_3,figure,0.876268,0.861332,0.014936,0.0875,0.0,6,"7) extends to higher values. Figure 3: In contrast to Figure 2 male pronouns are seemingly skew normally distributed, with a peak at $X = 6$ . One can see how STEM fields concentrate mainly to the right ( $X \geq 6$ ).","Figure 3: Gender statistics from Bergsma and Lin (2006) correlate with Bureau of Labor Statistics 2015. However, the former has systematically lower female percentages; most points lie well below the 45-degree line (d..."
hub_target,1809.02208,1809.02208_figure_11,figure,1804.09301,1804.09301_figure_4,figure,0.875869,0.855023,0.020846,0.085714,0.064815,7,"Figure 11: The distribution of pronominal genders per language also suggests a tendency towards male defaults, with female pronouns reaching as low as 0.196% and 1.865% for Japanese and Chinese respectively. Once agai...",Figure 4: These two plots show how gender bias in coreference systems corresponds with occupational gender statistics from the U.S Bureau of Labor Statistics (left) and from text as computed by Bergsma and Lin (2006)...
hub_target,1910.10872,1910.10872_figure_47,figure,1804.06876,1804.06876_figure_2,figure,0.875039,0.892763,-0.017724,0.6,0.0,10,Small Spacy,Type 2
low_top1_margin,1611.07509,1611.07509_table_1,table,1611.07438,1611.07438_table_3,table,0.873774,0.912878,-0.039104,0.111111,0.0,2,Table 1: Direct/indirect discriminatory effects in the modified training data and predictions for the testing data. Values violating the discrimination criterion are marked in bold.,Table 3: Contingency table within subpopulation q.
low_top1_margin,1910.10872,1910.10872_figure_51,figure,2005.07293,2005.07293_figure_7,figure,0.87332,0.90276,-0.02944,0.5,0.0,3,(b) Error Type-2 Weighted,(b) β = 0.5
hub_target,1809.02208,1809.02208_table_11,table,1804.06876,1804.06876_table_1,table,0.872489,0.85582,0.016669,0.098765,0.076923,6,"Table 11: Percentage of female, male and neutral gender pronouns obtained for each language, averaged over all occupations detailed in Table","Table 1: Occupations statistics used in WinoBias dataset, organized by the percent of people in the occupation who are reported as female. When woman dominate profession, we call linking the noun phrase referring to t..."
