ResponseId,simMetric,all A,split 50-50,split ratio,StateAcr,Gender,Education,Race,Community,Age,PoliticalAffliation,mTurkCode
R_8k5LaUMoCF7J7Zn,90-10,8.6,3.1,8.1,SC,Male,Some college but no degree,White,City or urban community,34,Republican Party,1268879
R_ufyEoJxNm7DtcY1,100-20,9,4.2,9,FL,Female,"High school degree or equivalent (e.g., GED)",White,Suburban community,59,Libertarian Party,9034147
R_2aY0vJ7PlsCQ20y,70-40,6.6,5.9,7.3,FL,Female,Associate degree,White,Suburban community,38,Democratic party,2675123
R_32RbJAEGclskzOQ,50-55,6.6,6,5.1,LA,Female,Bachelor degree,White,Rural community,47,Independent,5067780
R_3KU4AqlHzSHWjai,90-10,8.1,4.2,9,VA,Female,Bachelor degree,White,Rural community,31,Republican Party,8583378
R_2V1ookGoqE1Hg7G,100-20,1,9,6.4,OH,Female,Some college but no degree,White,Rural community,50,Democratic party,1653778
R_3ER9Ai9SURNrkGL,50-55,8.1,4,3,NV,Female,Bachelor degree,White,Rural community,53,Republican Party,1904156
R_OpyLG3jDlQoh8VX,70-40,9,7.9,8.5,,Male,Bachelor degree,Black or African-American,Rural community,30,Republican Party,7118838
R_tS5pzQ43u3SWdVL,70-40,9,9,9,OH,Female,Bachelor degree,White,City or urban community,60,Democratic party,1967478
R_3dVTEbicGX9Zlem,90-10,3.6,6,4,CA,Female,Some college but no degree,White,Rural community,62,Independent,775250
R_2tfXYvX3sJnBhFY,100-20,7.2,5.9,8.3,CA,Female,Bachelor degree,White,Rural community,29,Democratic party,6428130
R_3fNw9eD1M9uIUen,50-55,9,9,9,MD,Female,Graduate degree,White,Suburban community,30,Independent,8147481
R_2YS2mKf1bHqF3BX,100-20,1,9,1,PA,Female,Some college but no degree,White,Suburban community,35,Republican Party,9969891
R_es4jPAhCC8FbJ3X,90-10,7.1,3.8,6,PA,Female,Graduate degree,White,Suburban community,30,Democratic party,1435339
R_3flcp31dlABIF3N,50-55,6.6,2.5,3.3,PA,Female,Bachelor degree,White,Suburban community,45,Independent,1092489
R_Q0uAmbncEu6b7sR,90-10,8.7,7.6,7.5,,Male,Bachelor degree,Black or African-American,City or urban community,30,Republican Party,545928
R_10pA0uK7sJw2XjD,70-40,1.3,9,8.2,CO,Female,Graduate degree,multiple ,Suburban community,35,Independent,2829062
R_PA87JLK6jb8dWNz,100-20,1,2.9,9,MI,Female,Bachelor degree,White,Small town,56,Republican Party,984910
R_AtkSmY2CXSrkCfn,50-55,8.4,8.8,7.9,,Male,Bachelor degree,Black or African-American,Suburban community,30,Republican Party,8346429
R_1otM3lh1qhMQDvU,100-20,5.4,4,5.5,TX,Female,"High school degree or equivalent (e.g., GED)",White,Rural community,29,Independent,6981042
R_8BaXvwZGA1DOuxH,70-40,9,1,1.1,OK,Male,Some college but no degree,White,Rural community,21,"Libertarian Party,Independent",21463
R_3P6rWesg3VQ3RNs,70-40,1.2,9,7,SC,Female,Some college but no degree,White,Suburban community,31,Republican Party,2196107
R_2fybbCJFJf4kKwO,100-20,2.9,9,5,FL,Female,"High school degree or equivalent (e.g., GED)",White,City or urban community,23,Independent,8108582
R_3F3R7N0uNj4yYrc,90-10,1,9,9,KY,Male,Bachelor degree,White,Rural community,22,Democratic party,8177595
R_0HULn9iETMMVCfL,50-55,5.1,7.5,9,TX,Male,Some college but no degree,White,City or urban community,29,Libertarian Party,2054950
R_1JUyuvnZNlkPmQf,90-10,5.3,5.6,5.5,UT,Female,Less than high school degree,White,City or urban community,28,Independent,9150433
R_3k0XXgENxrkBmpa,70-40,7.7,6.9,8.2,PA,Male,Graduate degree,Asian-American,City or urban community,27,Independent,1431962
R_1NncFYdUD0zoakQ,50-55,6,5.5,7.5,TX,Male,Graduate degree,White,Suburban community,52,Independent,1718780
R_1BXTn5tfWedsgOy,100-20,9,1,3.7,TX,Female,Graduate degree,"Spanish, Hispanic, or Latino",City or urban community,44,Democratic party,395761
R_3QKHS3xxdY4M6jS,50-55,2.9,8.1,8.3,CA,Male,Graduate degree,Asian,Suburban community,30,Democratic party,1454058
R_1HuhW1vl6DvwtIR,90-10,8.4,2.9,8.3,MA,Male,Graduate degree,White,Suburban community,35,Democratic party,9913731
R_3pr6EHp3DwEukhC,100-20,2.9,1,8.9,NY,Male,Some college but no degree,White,Suburban community,24,Democratic party,3100487
R_1rOjHWSxkJhqtxc,70-40,3.3,3.1,8,NC,Male,Bachelor degree,White,Suburban community,32,Republican Party,6329026
R_x8UsUyuG4GmXF61,50-55,3,6,8,VA,Male,Graduate degree,White,City or urban community,27,Democratic party,1254041
R_1C7JKpT2a0F7RWf,50-55,9,9,9,NC,Female,Graduate degree,White,Suburban community,38,Democratic party,2444893
R_26mwwNHBb0qoqGI,70-40,3.9,3.8,9,MI,Male,Associate degree,White,Suburban community,33,Independent,8915014
R_12u8U3oj84vXu5X,90-10,8,3,8.6,PA,Female,Associate degree,White,Suburban community,35,Democratic party,9937131
R_1lfs4Pmi7aKS3GO,100-20,7,1,7.9,MA,Male,"High school degree or equivalent (e.g., GED)",White,Suburban community,29,Democratic party,6046963
R_1MRhwlxXsnJ8PiB,90-10,9,9,9,IL,Female,Associate degree,White,Suburban community,44,Republican Party,842491
R_e2M8WTQu0TWrPQl,70-40,1,9,4.1,FL,Female,Some college but no degree,White,City or urban community,38,Democratic party,4675443
R_30leGPxR8gcsO6i,90-10,1,4.7,8,NY,Female,Graduate degree,Asian-American,City or urban community,25,Democratic party,4454683
R_3HOGz4JZykZx4rM,50-55,6.5,6.4,6.5,CA,Male,Bachelor degree,White,City or urban community,27,Democratic party,8196413
R_wMfoKJ0Tf0NQAFP,100-20,6.1,5.1,3.2,TX,Female,Some college but no degree,White,Suburban community,30,Independent,1001182
R_27OwwTOwxG1WevV,50-55,1,4.4,8,TX,Male,Bachelor degree,White,Rural community,58,Democratic party,2439774
R_2hLS935ITyTvIvT,100-20,3,3.5,8.5,TX,Male,Some college but no degree,White,Rural community,36,Democratic party,3288052
R_2ErYQgXA3QwhaUS,70-40,1,9,1.9,OR,Male,Some college but no degree,White,Rural community,45,Independent,2756295
R_3j6BLRsyfmxIOsb,90-10,9,2.8,6.6,AL,Male,Some college but no degree,White,Rural community,32,Republican Party,1001860
R_31h3oNdV9w1FQaR,90-10,9,2,7,GA,Female,Graduate degree,Black or African-American,Suburban community,26,Independent,8419095
R_1CHDO4iTwx23tCq,50-55,9,9,9,MN,Male,Bachelor degree,White,City or urban community,57,Independent,7374435
R_2QY8cZdg3gLcG1d,100-20,1,9,1,CO,Female,Some college but no degree,White,Rural community,70,Republican Party,1420041
R_2Tuzkxrce92t1Ko,70-40,2.9,7,7,CO,Male,Some college but no degree,White,Suburban community,46,Republican Party,8597068
R_3DiCHgEbUukpc89,100-20,9,1.9,8.9,CT,Male,Associate degree,Black or African-American,Suburban community,25,Democratic party,5950622
R_eyDkd4VYGllnmvf,70-40,1.4,4.6,8.1,LA,Female,Bachelor degree,White,Suburban community,59,Democratic party,4957808
R_3HjjmO7ECPpNfsE,90-10,9,1,9,MD,Female,Bachelor degree,Black or African-American,Suburban community,46,Democratic party,3581177
R_u50wmHVESDsoYAp,50-55,9,5.1,9,NC,Male,Bachelor degree,White,Rural community,29,Libertarian Party,1746870
R_1Cp89lz0Kxx5hJQ,100-20,5.2,5.6,6.5,TX,Male,Associate degree,White,Suburban community,28,Independent,5168587
R_3ERzfHgBO9dB4fq,90-10,7.5,7.2,6.7,CT,Male,Some college but no degree,Asian,Suburban community,23,Democratic party,8783837
R_2EF8j4cDxaIfxUJ,50-55,5,7.7,9,MO,Male,Some college but no degree,White,City or urban community,47,Democratic party,357886
R_27kgiXjjnmRLKHA,70-40,3,4,3,PA,Female,Some college but no degree,White,Suburban community,69,Independent,6457325
R_3HjhxarZLU2qHrq,90-10,9,1.3,8.7,AZ,Female,Associate degree,White,Suburban community,50,Independent,7876617
R_1eJAEvTjFmGy94j,100-20,9,4,9,MA,Female,Bachelor degree,White,Suburban community,32,Independent,1551935
R_1lmH974o6Gtq3pi,70-40,1,9,7.5,AL,Male,Associate degree,White,Suburban community,36,Democratic party,2430870
R_3qTGT76IJDJH0FH,50-55,1,8.6,7,NJ,Male,Bachelor degree,White,Suburban community,43,Democratic party,4884387
R_2azPvyHB1U4xmOO,50-55,3.3,7.8,9,MA,Male,Graduate degree,White,Suburban community,46,Green Party,1853379
R_2rSYAiPMjp8ejeB,50-55,3,9,9,MO,Female,Bachelor degree,White,City or urban community,34,Independent,7556048
R_2ElSeX2yGh8AdWG,100-20,8.8,1.5,8.4,MI,Male,Bachelor degree,White,Suburban community,38,Independent,941439
R_Zk8aK5XeEcISXZv,90-10,1.9,5.5,6.3,PA,Female,Bachelor degree,Asian,Rural community,45,Republican Party,7900049
R_1IvfrPOdiCzKSQS,70-40,9,5,5,NC,Female,Some college but no degree,Black or African-American,Rural community,29,Independent,6725534
R_3qlZWJlzMZr6IWL,100-20,5.1,5.1,5.1,IL,Male,Graduate degree,White,City or urban community,26,Democratic party,6580799
R_3dE1ivpBb0Oh4Qm,100-20,5,5,3,TX,Male,Some college but no degree,Asian,Suburban community,34,Republican Party,9583397
R_2QyoLyMgNpxgndO,70-40,2.7,2.4,9,AZ,Female,Associate degree,"Spanish, Hispanic, or Latino",City or urban community,24,Independent,2244305
R_2QYZsTIElkhND9g,50-55,2.4,6.6,8,MO,Female,Graduate degree,White,Suburban community,46,Democratic party,7018247
R_eA5u2dGJQm8Vve9,90-10,8,3,9,OH,Male,Bachelor degree,White,Suburban community,50,Independent,7993091
R_2zc0erjsY5Qq138,90-10,8,2,6,WA,Male,Some college but no degree,White,City or urban community,54,Independent,6308802
R_PTclPKv8ldai7zr,70-40,5,4,7.5,MI,Male,"High school degree or equivalent (e.g., GED)",White,City or urban community,25,Independent,580700
R_dfZZcrleXYDwsSJ,90-10,8.5,1,1.9,MD,Male,Graduate degree,White,City or urban community,33,Democratic party,8104048
R_2R8L6M8yJABVMDI,50-55,8.5,6.2,7.4,KY,Female,Some college but no degree,White,City or urban community,36,Democratic party,5471969
R_xuAxYcxneZ2Ude9,50-55,7.8,6.5,7.3,TX,Male,Bachelor degree,American Indian or Alaskan Native,City or urban community,28,Democratic party,5236320
R_1Hc3CBprFwYiN8Y,100-20,8.2,3.1,7.7,ME,Male,"High school degree or equivalent (e.g., GED)",White,Rural community,52,Republican Party,9408245
R_2znDCz8MC3CDMap,70-40,7.9,3.4,4.2,LA,Female,Bachelor degree,White,Rural community,57,Independent,2713140
R_3FWFwyrrjS5pH4A,100-20,4.1,9,6.4,CA,Male,Bachelor degree,"Spanish, Hispanic, or Latino",Suburban community,25,Democratic party,67882
R_1rlEJTneolGmlXQ,70-40,1.1,5.1,5.9,PA,Female,Associate degree,White,City or urban community,64,Republican Party,2404576
R_2CxqmyEUk3bV4jO,50-55,9,1,1,TX,Male,Some college but no degree,White,Rural community,48,Democratic party,5266907
R_26nn948xDXLUgkz,90-10,9,5,6,NJ,Female,Bachelor degree,"Spanish, Hispanic, or Latino,White",Suburban community,55,Democratic party,3628768
R_28XTCdIKkBagu1C,100-20,8,2.9,5.9,NH,Male,Graduate degree,White,Suburban community,31,Independent,3730552
R_1HjXHNmL7wPJTHm,90-10,8.3,2.3,8.1,GA,Female,"High school degree or equivalent (e.g., GED)",White,Rural community,61,Republican Party,3850494
R_2s0h8IlLDlqieOT,70-40,4.4,8,8.6,NC,Female,Bachelor degree,White,Suburban community,48,Independent,7727818
R_1OP3GoaeaqbIPnA,50-55,1.5,5.7,7.8,NJ,Male,Bachelor degree,White,Suburban community,41,Democratic party,7990617
R_bqiZvx8Ms5cAn4d,100-20,8,6,9,NJ,Female,Associate degree,White,Suburban community,32,Democratic party,4410280
R_ZlY4JQ38ISt3sgp,70-40,6,4,8.6,GA,Female,Associate degree,White,Suburban community,32,Republican Party,7855323
R_2doLk4RXQTuiUbQ,90-10,8.7,1.8,7,TN,Female,Bachelor degree,White,Suburban community,27,Independent,6022355
R_1k1efH2X322RodI,50-55,4,6,9,FL,Female,"High school degree or equivalent (e.g., GED)",White,Suburban community,42,Democratic party,853902
R_2sU1DdRksi5fLz2,90-10,2.9,2,6.8,NJ,Male,"High school degree or equivalent (e.g., GED)",White,Suburban community,18,Independent,649904
R_cJa40oaRIMF9NAt,100-20,1,1,9,NY,Male,Graduate degree,White,Suburban community,44,Independent,7377937
R_23eQpKOYXwqFqRv,100-20,9,3.8,5.5,NC,Female,Some college but no degree,White,Suburban community,58,Republican Party,2803695
R_1pxn9SMeg8oUEe3,50-55,7.9,4.3,4.4,NC,Female,Bachelor degree,White,City or urban community,65,Republican Party,1722607
R_1H5g8eQZa58W3IA,70-40,7,2.1,8.9,TX,Male,Bachelor degree,Black or African-American,Suburban community,33,Democratic party,4017829
R_1dacBNN3yPCkjtC,70-40,9,6,9,WI,Male,Bachelor degree,White,Suburban community,35,Independent,7440078
R_3RrckBnJNUKGPtF,100-20,4.1,6.7,8.7,MA,Female,Bachelor degree,White,Suburban community,24,Democratic party,3271503
R_27p34fqDwYmX42D,90-10,5.2,9,8.5,MI,Female,Some college but no degree,White,Rural community,58,Independent,6863329
R_2ZUgW2gMsKymOTD,70-40,1,5.1,7.4,MI,Male,Graduate degree,Black or African-American,City or urban community,30,Independent,5538932
R_3ktFhzZmGtyAo3o,90-10,5.9,1,8.4,FL,Female,Graduate degree,White,Suburban community,71,Republican Party,2190502
R_et9u9uYWrbsFcGJ,70-40,1,8.2,5.8,SC,Male,Some college but no degree,White,Suburban community,31,Independent,5948837
R_T0XknKyt2m9UwEx,50-55,1.5,2.5,1.1,OH,Female,Some college but no degree,White,Rural community,47,Independent,9935678
R_NXOQrQycaXX8gvf,100-20,8.4,2,3.3,WV,Male,Graduate degree,White,Rural community,45,Independent,3453033
R_2e3Cd2G403KN7Wz,50-55,1,6.2,6.5,MI,Female,"High school degree or equivalent (e.g., GED)",White,Rural community,35,Independent,8688510
R_2qaTuwrGFTxBz7E,90-10,2,5,2, ,Female,Graduate degree,White,Suburban community,35,Republican Party,8645404
R_2ctqzLiSwtnNHUy,90-10,8.2,5.1,8.4,,Female,Bachelor degree,White,Suburban community,32,Republican Party,8048708
R_3k6OHZrzJXsFDSL,50-55,8,8,8,IL,Female,Bachelor degree,White,City or urban community,25,Independent,7764846
R_25MHgjggPvwOWC9,70-40,5.1,5,9,RI,Male,"High school degree or equivalent (e.g., GED)",White,Suburban community,51,Republican Party,8896123
R_BK9DLfufBryEtvH,100-20,2.1,5,2.1,IL,Female,Graduate degree,White,Suburban community,34,Republican Party,4491548
R_3KL9IHnpj73Er6N,100-20,9,1.8,9,GA,Female,Some college but no degree,White,Rural community,35,Democratic party,8253864
R_1cUFDJdMRALtRgh,50-55,1.9,4.2,3.2,NC,Female,Some college but no degree,White,Rural community,35,Independent,1308746
R_21nWfLPLxjEUTkc,70-40,9,2.1,6,AR,Male,Graduate degree,White,City or urban community,36,Libertarian Party,9193376
R_28CfoN1mGDVxP4K,90-10,8.1,2.5,9,AL,Female,Associate degree,White,Suburban community,26,Republican Party,9025708
R_Owm7OH2iXKaT3Tr,70-40,7,5.1,6,PA,Male,Some college but no degree,White,Suburban community,36,Green Party,3379242
R_cVhn9HwSFn0GNvb,100-20,7.2,3.8,5.4,MI,Male,"High school degree or equivalent (e.g., GED)",White,Rural community,53,Independent,9165612
R_UlIT0EcGHjnmXXb,50-55,2,7.1,8,MN,Male,Bachelor degree,White,Suburban community,56,Independent,7448257
R_1plpl3x3jSZHmya,90-10,1,9,9,WV,Female,"High school degree or equivalent (e.g., GED)",White,Rural community,65,Democratic party,804754
R_2b327KGRsHAPWyd,100-20,2,2,8,PA,Female,Bachelor degree,White,Rural community,32,Republican Party,1925508
R_5tKSkognLVd4w0h,70-40,7.1,4,7.8,FL,Male,Associate degree,Black or African-American,Suburban community,26,Independent,118164
R_ue17eP2FefJi0RH,90-10,2,9,7,PA,Female,Graduate degree,White,City or urban community,31,Democratic party,2987940
R_1i9754ofLdTehEY,50-55,1.2,8.5,9,CO,Male,Bachelor degree,White,City or urban community,55,Democratic party,8683705
R_pQtlXca04rnPv1L,90-10,2.1,3,6.7,TX,Female,Some college but no degree,White,Suburban community,55,Democratic party,1924026
R_3kdgOJl2CDIpRNX,70-40,7.5,6.9,8.7,PA,Male,Some college but no degree,White,Suburban community,35,Independent,5796028
R_27vAm2bKSNNLtBr,100-20,1,9,1,VA,Female,Some college but no degree,Black or African-American,City or urban community,28,Independent,8158934
R_BWgsjNzi0B7PDmV,50-55,1,9,7.2,GA,Female,Graduate degree,White,Suburban community,43,Libertarian Party,6094638
R_2P11dJJ2EQSGlmA,50-55,1.8,6.1,8.2,AZ,Female,Some college but no degree,White,Suburban community,50,Independent,1058103
R_3P7UzIOHoH6W7wi,100-20,8,1,9,FL,Female,Some college but no degree,White,Rural community,39,Democratic party,8009163
R_3hhwOU6yEMXeejx,70-40,5,9,1,CO,Female,Bachelor degree,White,Suburban community,32,Democratic party,879859
R_2tDqIFHr2OTFvZW,90-10,8.8,2.3,8.3,MO,Female,Some college but no degree,White,Suburban community,46,Republican Party,4573404
R_2ckMk6gjIXKbg3t,70-40,8,2,9,CT,Male,Bachelor degree,White,Suburban community,27,Republican Party,859088
R_1gUVILTzgIbA136,100-20,3.3,8.9,5.4,PA,Female,Bachelor degree,White,Rural community,26,Republican Party,954539
R_3imT4haNX8RrfBU,90-10,1,9,1,FL,Male,Some college but no degree,White,Rural community,25,Republican Party,8149476
R_3FVg0DSL7ZGk3pd,90-10,7.1,3.8,9,FL,Female,"High school degree or equivalent (e.g., GED)",White,City or urban community,30,Democratic party,8556339
R_2fCYwRYqd8fIdcC,50-55,7,6,8,MS,Female,Associate degree,White,Rural community,33,Republican Party,2508803
R_3siS2j0MsZDhRIc,100-20,2.9,9,6.1,PA,Male,Associate degree,White,Suburban community,30,Republican Party,4766705
R_DkF2OdhOJgd59hT,70-40,6.6,4.8,9,PA,Female,Some college but no degree,White,Suburban community,23,Democratic party,4625281
R_3MQf4qBYVYF2cVK,50-55,9,9,9,MI,Female,Graduate degree,Asian,Suburban community,35,Democratic party,9102134
R_2zBeg31JxNsQA8R,100-20,9,1.8,9,NY,Male,Graduate degree,White,City or urban community,56,Democratic party,1884506
R_d0ujKAY4FREKKJj,90-10,9,9,9,TN,Female,Some college but no degree,White,Rural community,33,Independent,2599183
R_1n2PBKI8t1jnYMI,70-40,6,3.1,5.1,MI,Female,Bachelor degree,White,Suburban community,36,Independent,6724908
R_12Qr3VCIaJU6cik,50-55,2,6.8,8,PA,Female,"High school degree or equivalent (e.g., GED)",White,Suburban community,57,Independent,4918919
R_eYaFcT9IFaaMLex,70-40,2,7.3,9,VT,Male,Associate degree,White,Suburban community,44,Independent,9491212
R_2aLlY7mph7SdJYL,90-10,2.5,6.9,3.3,FL,Male,Some college but no degree,White,City or urban community,47,Independent,9999582
R_3oWTa5LmpvnuQkC,50-55,7,9,8,FL,Male,Graduate degree,White,City or urban community,34,Republican Party,908336
R_1kFkDOPd5k8j5FG,100-20,6.1,5.1,7,VA,Female,Graduate degree,White,Rural community,61,Democratic party,9241716
R_3oA6BRVqIt6c859,100-20,9,4,6.6,WA,Female,Some college but no degree,White,Suburban community,34,Independent,3607444
R_PM96SMPgOocoP0l,90-10,7.1,5.9,4,NY,Male,Associate degree,White,City or urban community,26,Republican Party,7304167
R_1n24YxbzCNnR1LZ,70-40,7.7,1.7,7.8,OK,Male,Associate degree,White,City or urban community,35,Republican Party,6105708
R_2DOYzXMXipSPcDP,50-55,9,5.1,5.1,GA,Female,Associate degree,White,Rural community,36,Independent,1549843
R_1GCYGvCcsvFiVFM,70-40,5,9,9,MA,Female,Associate degree,White,Rural community,44,Republican Party,3352708
R_3PouFwdoAf6DbOD,90-10,5,9,5,PA,Female,Some college but no degree,White,Suburban community,48,Republican Party,7914508
R_3KDXq8mqPTIW4H1,50-55,3.7,7.2,6.1,MI,Female,Bachelor degree,White,City or urban community,24,Democratic party,8064728
R_10GVFGT2KsEU55o,50-55,7.1,8.6,8.1,FL,Female,Bachelor degree,White,Suburban community,39,Independent,7167254
R_sQZjJ7xCRZGkRc5,100-20,8,3,6.5,CA,Male,Some college but no degree,White,City or urban community,64,Democratic party,5782508
R_1jNilN3ARwKtQqV,70-40,6,3,3,KY,Male,Bachelor degree,White,Suburban community,43,Independent,654004
R_1Dx6QwypGJJS3eG,90-10,6.5,9,6.5,GA,Male,Some college but no degree,Black or African-American,City or urban community,25,Democratic party,654859
R_241r74hqpdjcO2Z,70-40,9,2.9,5.6,TN,Female,Bachelor degree,White,Rural community,40,Republican Party,7500525
R_1E4lvutMysZ6FfY,90-10,9,5,1,TX,Male,Bachelor degree,Asian,City or urban community,30,Democratic party,3055600
R_2OUeWRUWo9eaSQF,50-55,2,7.9,9,VA, ,Some college but no degree,White,City or urban community,29,Republican Party,3769040
