ResponseId,7040_1,7040_2,7040_3,10020_1,10020_2,10020_3,5550_1,5550_2,5550_3,9010_1,9010_2,9010_3,State,Gender,D2_2_TEXT,Education,Race,D4_8_TEXT,Community,D5_4_TEXT,Age,Political Affiliation,D7_5_TEXT
R_2bj4wcmgZAidPO1,,,,,,,1,3.9,9,,,,Ohio,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,54,Independent,
R_2vkb0MXRBfQr8q3,,,,6,1,7,,,,,,,Ohio,Male,,Some college but no degree,White,,Rural community,,58,Independent,
R_3HC6v3FTuy3bHC5,2.1,4.2,5.5,,,,,,,,,,West Virginia,Male,,Less than high school degree,White,,Rural community,,36,Republican Party,
R_3n0pNBWtrhLv7HO,,,,,,,4,9,9,,,,KS,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,City or urban community,,53,Democratic party,
R_dpf9lNUXXFUEPxT,4.9,4.7,6.1,,,,,,,,,,ma,Male,,Associate degree,White,,Suburban community,,28,Republican Party,
R_YWHqKRdXEqOudrP,,,,,,,,,,3.2,2.3,8.1,Florida,Male,,Some college but no degree,"Spanish, Hispanic, or Latino",,City or urban community,,32,Democratic party,
R_1OjFR4X9XqOn2R5,,,,7,8.2,9,,,,,,,NewYork,Male,,Some college but no degree,Black or African-American,,City or urban community,,25,Democratic party,
R_RIDutlT1igdOqMp,,,,6.2,3.8,4.5,,,,,,,florida,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,23,Independent,
R_26hfjaXGhKFJccE,,,,9,1,9,,,,,,,Illinois,Female,,Bachelor degree,White,,Rural community,,42,Democratic party,
R_3MFPxcw6opcIKsN,,,,,,,,,,2.5,7.9,7.8,NC,Male,,Graduate degree,White,,Suburban community,,29,Democratic party,
R_11gy00WTh3JfRqN,2,6,8,,,,,,,,,,Michigan,Female,,Some college but no degree,White,,Rural community,,60,Independent,
R_3dFibMzXgda4a6K,5.2,2.9,9,,,,,,,,,,FL,Male,,Graduate degree,White,,City or urban community,,30,Republican Party,
R_6yCz7PAAeOC14Mp,,,,1,9,5.1,,,,,,,PA,Female,,Graduate degree,White,,City or urban community,,31,Democratic party,
R_3oN3JCnyrSRAAL8,,,,,,,1,6.5,4,,,,Utah,Male,,Bachelor degree,White,,Suburban community,,39,Democratic party,
R_1MWlFqKpXjS627T,,,,,,,1,3,9,,,,Florida,Female,,Bachelor degree,White,,Suburban community,,74,Independent,
R_1Lbp9FQfaOc1osn,,,,1,9,1,,,,,,,Missouri,Male,,Some college but no degree,White,,Suburban community,,46,Independent,
R_e9SEjH55rSsEskp,,,,,,,,,,7.7,3.5,3.5,FL,Female,,Bachelor degree,White,,Suburban community,,50,Republican Party,
R_vAdhYqVNbnzN2yl,,,,7.6,6.7,9,,,,,,,PA,Male,,Graduate degree,White,,City or urban community,,38,Democratic party,
R_3IWtacxrT7zAfxS,,,,,,,1,7.6,9,,,,MA,Male,,Bachelor degree,White,,Suburban community,,32,Independent,
R_3EmvOygnAvYLz5t,,,,,,,,,,7.8,2.9,7.8,NJ,Female,,Bachelor degree,White,,Suburban community,,46,Democratic party,
R_3IRXp61JmUFi28q,,,,,,,9,8.1,9,,,,PA,Female,,Bachelor degree,White,,Suburban community,,37,Republican Party,
R_3ERUij9UVqkSOaJ,9,4.5,9,,,,,,,,,,Penna.,Male,,Bachelor degree,White,,Suburban community,,49,Republican Party,
R_szIJ5ZQuMlOKUCZ,,,,,,,2.9,7.3,9,,,,Missouri,Male,,Some college but no degree,White,,Suburban community,,32,Republican Party,
R_12r7nvOFWtoDHV0,,,,,,,9,4.7,9,,,,North Carolina,Female,,Bachelor degree,"Spanish, Hispanic, or Latino",,Rural community,,27,Republican Party,
R_2X4KhDjaGUrgKlf,,,,7.6,2.1,9,,,,,,,Texas,Female,,Bachelor degree,White,,Rural community,,49,Democratic party,
R_1Qxwy4QjsyAPsVK,,,,,,,6,7.5,8,,,,New Jersey,Female,,Graduate degree,White,,Suburban community,,50,Democratic party,
R_beaYJTSEbIqykGl,1,9,5.8,,,,,,,,,,North Carolina,Female,,Graduate degree,"White,Asian",,Suburban community,,40,Democratic party,
R_2ZETOyaXdXnow7y,2.3,7.4,9,,,,,,,,,,Kansas,Female,,Bachelor degree,White,,City or urban community,,35,Democratic party,
R_1MN9enKZTrXkDvZ,,,,4.9,2.5,8.3,,,,,,,Pennsylvania,Female,,Associate degree,White,,Suburban community,,36,Democratic party,
R_262RS5g3ZWkOBJC,,,,,,,,,,8.3,2.9,8.9,texas,Male,,Bachelor degree,Black or African-American,,Suburban community,,33,Democratic party,
R_3OoJ27ESubvBJaX,,,,5.1,8.1,1.1,,,,,,,NM,Male,,Some college but no degree,"White,American Indian or Alaskan Native",,Suburban community,,59,Independent,
R_1DBIaeu5S2OzXlm,3.8,2.9,6.8,,,,,,,,,,TN,Male,,Associate degree,White,,"City or urban community,Rural community",,30,Democratic party,
R_s5mqJVgKMDTFDmF,3.1,8,3.1,,,,,,,,,,PA,Male,,Associate degree,White,,Suburban community,,30,Republican Party,
R_3dSTnsMlAEpMJJ0,,,,,,,,,,8.2,8.5,8.5,New york,Male,,Bachelor degree,Black or African-American,,City or urban community,,31,Republican Party,
R_1gOXisuOWx3b5vP,,,,,,,,,,5.4,5.1,4.7,ut,Female,,Less than high school degree,White,,City or urban community,,28,Libertarian Party,
R_1oI0t7ILEbndxGW,,,,6.6,7.1,9,,,,,,,SC,Female,,"High school degree or equivalent (e.g., GED)","Spanish, Hispanic, or Latino",,Rural community,,19,Republican Party,
R_1hFOMAT77Rwbt6I,,,,,,,,,,1,7,2,California,Male,,Some college but no degree,"Spanish, Hispanic, or Latino",,Suburban community,,25,Democratic party,
R_3M5UTwZFpU7Ua1Y,,,,,,,,,,1.2,1.5,1.4,NJ,Female,,Graduate degree,"Spanish, Hispanic, or Latino",,Suburban community,,56,Republican Party,
R_1mErYC9j2WlzLju,,,,,,,5,5,1,,,,Missouri,Female,,Bachelor degree,White,,Rural community,,24,Republican Party,
R_OKazhXxDVL5Gucx,,,,1,1.6,1.7,,,,,,,USA,Female,,"High school degree or equivalent (e.g., GED)",Black or African-American,,Suburban community,,47,Democratic party,
R_1rOocASxlAPS3Dd,1.8,7.8,8.1,,,,,,,,,,utah,Male,,Bachelor degree,White,,Suburban community,,39,Democratic party,
R_2sWMX8rtuOwahEW,,,,1,1.9,8.3,,,,,,,Texas,Female,,Graduate degree,White,,Rural community,,23,Green Party,
R_10SOetWZYtfLr8Z,,,,,,,2.8,9,7.3,,,,IL,Female,,Associate degree,White,,Suburban community,,38,Democratic party,
R_3fVI30MtDuYbLS7,,,,6.3,2.8,8.2,,,,,,,Texas,Female,,Bachelor degree,White,,City or urban community,,30,Democratic party,
R_6KyWLO2CL7GdIrf,9,1,9,,,,,,,,,,TX,Female,,Some college but no degree,White,,Suburban community,,36,Independent,
R_1mrfz78xUibCSzF,,,,,,,,,,5.8,5.1,5.3,LA,Male,,Associate degree,White,,City or urban community,,28,"Democratic party,Republican Party",
R_2tF3s2TX95701ZY,4.3,6.9,7.8,,,,,,,,,,Ohio,Female,,Bachelor degree,White,,City or urban community,,27,Democratic party,
R_AiHeWcAlEDsJEw9,,,,,,,1,3.9,9,,,,Colorado,Male,,Some college but no degree,White,,City or urban community,,27,Republican Party,
R_xFtccP0nI8QDzlT,,,,,,,,,,6,2.9,8,Missouri,Male,,Some college but no degree,White,,Rural community,,20,Republican Party,
R_3NL0YIrH32KXv8O,,,,,,,8.2,6.6,6.7,,,,PA,Female,,Associate degree,White,,Suburban community,,43,Independent,
R_2hrQwpOoKTAomEV,9,2,5,,,,,,,,,,New Jersey,Male,,Bachelor degree,White,,City or urban community,,23,Republican Party,
R_9GoPikct59V1OLf,,,,1,5,5,,,,,,,Minneso0ta,Female,,Associate degree,White,,"Suburban community,Rural community",,42,Democratic party,
R_1LA1w9N36ZBZICA,,,,8.9,1,6.6,,,,,,,Mississippi,Female,,Bachelor degree,White,,Suburban community,,46,Republican Party,
R_1jPV5W4joAQp7aP,,,,,,,,,,9,1,8,Arizona,Female,,Associate degree,White,,Suburban community,,25,Democratic party,
R_2YodcyCyjFiGz8K,2,9,3.2,,,,,,,,,,KY,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,25,Independent,
R_1mrWFn2uvVHsDto,,,,,,,2.9,3,5,,,,ILLINOIS,Female,,Graduate degree,White,,City or urban community,,70,Republican Party,
R_0rhbiz9pSskWEMN,,,,,,,6,7.2,8.1,,,,AK,Male,,Associate degree,White,,Rural community,,32,Independent,
R_3GfB41UBIAiHkPQ,1,9,9,,,,,,,,,,Maine,Female,,Bachelor degree,White,,Suburban community,,25,Democratic party,
R_2AFGDaJGo18DO5l,,,,,,,9,4,9,,,,Texas,Male,,Graduate degree,Asian,,Suburban community,,49,Republican Party,
R_1MR5LACcN0MPTU6,,,,3.5,8.7,7.2,,,,,,,Michigan,Female,,Some college but no degree,White,,Suburban community,,49,Democratic party,
R_3sbvbnaZ8iEllrQ,,,,5.1,6.2,7.5,,,,,,,ca,Female,,Some college but no degree,Asian,,Suburban community,,22,Green Party,
R_2D06jvONRNZk1uP,,,,,,,1,4.4,9,,,,NC,Male,,Bachelor degree,White,,Suburban community,,27,Democratic party,
R_1nUPCUMpMAFIKsE,,,,1.2,9,3.6,,,,,,,Michigan,Male,,Bachelor degree,White,,Suburban community,,30,Republican Party,
R_265Qd4CWIheACoP,,,,,,,,,,9,1,2.5,Minnesota,Male,,Bachelor degree,White,,Rural community,,40,Republican Party,
R_2w6MTH3m8Ltr9WJ,,,,,,,,,,2,6.5,3,New Jersey,Male,,Bachelor degree,White,,Suburban community,,34,Republican Party,
R_2ZJEcbGN4QNJbqY,,,,,,,,,,6.1,7.6,3,washington,Male,,Some college but no degree,White,,Rural community,,36,Republican Party,
R_2zUAvoGkrbxfRj6,,,,,,,1,4,6.6,,,,Texas,Male,,Bachelor degree,Black or African-American,,City or urban community,,27,"Democratic party,Independent",
R_5uRDWwhqALaoCQN,,,,1.1,8.1,5.1,,,,,,,NC,Female,,Some college but no degree,White,,Rural community,,22,Independent,
R_3QGLaLDguFwPQdi,,,,,,,9,2.9,6,,,,Virginia,Male,,Graduate degree,White,,Suburban community,,44,Republican Party,
R_3r1ZPiUluTsLvdw,1,9,1,,,,,,,,,,CA,Female,,Bachelor degree,"Spanish, Hispanic, or Latino",,Rural community,,25,Democratic party,
R_cSD40qh5XFzx20h,,,,6.3,8.3,6.2,,,,,,,ca,Female,,Bachelor degree,Other (please specify):,,Suburban community,,41,Independent,
R_29s4sGrhYENvF5r,7.2,6.5,7,,,,,,,,,,USA,Female,,Bachelor degree,Black or African-American,,Suburban community,,30,Democratic party,
R_3FLOFqr1SFL7RZy,,,,,,,1.3,8.6,8,,,,Arizona,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,Rural community,,27,Democratic party,
R_3CZWvsu8INXW04f,9,9,9,,,,,,,,,,Wisconsin,Female,,Bachelor degree,White,,City or urban community,,34,Independent,
R_1MPVzf8VH6fI4w0,,,,,,,,,,6,2,9,Illinois,Female,,Graduate degree,White,,Suburban community,,42,Democratic party,
R_1ePrA4oFS7qz5d6,,,,2,3,5,,,,,,,TN,Male,,Some college but no degree,White,,City or urban community,,30,Independent,
R_1QKmxjJP4M2qrPg,2,1.9,5.3,,,,,,,,,,NY,Male,,Bachelor degree,White,,Rural community,,54,Republican Party,
R_2EAf5JoOZN8NfCm,,,,,,,,,,9,1.1,8.6,pennsylvania,Female,,Bachelor degree,White,,Suburban community,,32,Republican Party,
R_W6DG4lbWk0X8oU1,8.2,1,9,,,,,,,,,,Maryland,Male,,Some college but no degree,White,,Suburban community,,25,Independent,
R_1Q9PwcPuLgNhKQ6,,,,,,,,,,1,1,9,MN,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,City or urban community,,25,Democratic party,
R_11cF7iDow7FvYeD,,,,,,,9,9,9,,,,tn,Female,,Bachelor degree,White,,Rural community,,40,Republican Party,
R_XtSEmriyov2Vsel,,,,,,,5,9,1,,,,Florida,Male,,Some college but no degree,White,,Rural community,,31,Republican Party,
R_PtelTTPUom2564p,,,,,,,,,,6.1,6.1,6.1,Utah,Male,,Bachelor degree,White,,Suburban community,,26,Democratic party,
R_0ig0EbYoJxr2xWh,,,,9,5.1,2.3,,,,,,,north carolina,Female,,Associate degree,White,,Suburban community,,30,Republican Party,
R_3nTQBM1cLioMPVg,,,,,,,,,,1.5,5,5,Texas,Female,,Bachelor degree,White,,City or urban community,,25,Democratic party,
R_2uUrxJCfP4sRqb7,,,,1.8,6.1,4.2,,,,,,,New York,Male,,Some college but no degree,Black or African-American,,Suburban community,,21,Democratic party,
R_3qeDCwToaXneK7c,,,,,,,1.1,4.4,8.6,,,,ma,Female,,Bachelor degree,White,,Suburban community,,47,Republican Party,
R_2TQKGIrbUwtvmH0,1,7.3,9,,,,,,,,,,IN,Male,,Associate degree,Black or African-American,,City or urban community,,30,Democratic party,
R_3noS8kqexAacMAS,,,,7.7,4.4,9,,,,,,,Wyoming,Male,,Graduate degree,White,,City or urban community,,41,Republican Party,
R_C4bBS7XQJ348Qff,4.8,6.3,6.2,,,,,,,,,,Texas,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,35,Independent,
R_2rTwluml5GsCOYB,,,,,,,,,,1.4,5.8,7.8,California,Male,,Bachelor degree,Asian,,Suburban community,,23,Independent,
R_33rpghLgxNJoPcl,,,,,,,1,5.1,5.1,,,,CAlifornia,Female,,Some college but no degree,"Spanish, Hispanic, or Latino",,City or urban community,,42,Democratic party,
R_1LNlhKPBSfxN38Y,8.2,2.3,9,,,,,,,,,,New York,Male,,Graduate degree,"Spanish, Hispanic, or Latino,White",,Suburban community,,33,Republican Party,
R_bQUuli4nJuiaqlj,,,,,,,1,9,6.3,,,,Georgia,Male,,Some college but no degree,Asian,,City or urban community,,21,Republican Party,
R_231MRtGj5WSW0EV,,,,,,,4.3,4.2,4.5,,,,SC,Male,,Bachelor degree,White,,City or urban community,,30,Republican Party,
R_RXNgAMgXOJjPNjb,,,,3.8,2.5,8.3,,,,,,,ny,Male,,Bachelor degree,White,,Suburban community,,34,Republican Party,
R_2fBUFjFKFhfgaV7,,,,1,8.9,1,,,,,,,New Jersey,Female,,Associate degree,White,,Rural community,,53,Republican Party,
R_1nPFeuRbVDEd3dO,,,,,,,,,,2.5,7.1,3.7,Iowa,Female,,Bachelor degree,White,,Rural community,,35,Independent,
R_3NVsoCKLa9Ja3GL,,,,,,,,,,9,9,1.9,Oregon,Male,,Bachelor degree,White,,Suburban community,,33,Democratic party,
R_3piq7PAs36gzlQt,,,,7.3,6.4,7.5,,,,,,,Louisiana,Female,,Some college but no degree,White,,City or urban community,,25,Democratic party,
R_237e5uMw6mA3SNO,3,7,8.9,,,,,,,,,,Illinois,Male,,Graduate degree,White,,Suburban community,,45,Democratic party,
R_30kLBNudUonDYLg,7.2,8.4,8.4,,,,,,,,,,new york,Male,,Bachelor degree,Black or African-American,,City or urban community,,30,Republican Party,
R_ZIRqsdcG2SuGhnX,,,,,,,,,,9,1,9,Virginia,Female,,Some college but no degree,White,,Suburban community,,26,Democratic party,
R_1FnaqQ1GCRhuCst,,,,,,,1.9,9,6.2,,,,Louisiana,Female,,Associate degree,Black or African-American,,Rural community,,26,Democratic party,
R_1Q9gcX8jBvekVuJ,,,,,,,,,,4.6,2,8.2,IA,Male,,Graduate degree,White,,City or urban community,,48,Republican Party,
R_3y2pgN4oi1bZbBn,3.3,4.1,6.7,,,,,,,,,,Illinois,Male,,Bachelor degree,Black or African-American,,City or urban community,,34,Democratic party,
R_2YK4C6jlNNNMZEB,,,,,,,4.3,9,6.2,,,,Colorado,Male,,Bachelor degree,White,,Suburban community,,41,Democratic party,
R_Oe5ttJZoAzvUFsB,,,,2.1,7.2,5.9,,,,,,,Michigan,Female,,Associate degree,White,,City or urban community,,24,Democratic party,
R_2q7SePI1kXwqL8u,,,,,,,8,9,9,,,,Missouri,Male,,Bachelor degree,White,,Suburban community,,32,Independent,
R_3HuXSVL3oziReOd,,,,,,,,,,9,1,8,Illinois,Female,,Bachelor degree,White,,Suburban community,,48,Republican Party,
R_2CVVRGGUTCuJMIW,,,,9,1,9,,,,,,,Massachusetts,Female,,Bachelor degree,White,,City or urban community,,32,Independent,
R_eKjwN8o170sWwrD,,,,,,,2,8.2,9,,,,utah,Female,,Bachelor degree,White,,Suburban community,,40,Independent,
R_tKbgnyEYT1UluH7,4,6.2,8,,,,,,,,,,Pennsylvania,Male,,Some college but no degree,White,,Suburban community,,26,Libertarian Party,
R_2Sk3REqMbRQeXA2,,,,3.6,3.8,6.3,,,,,,,FL,Female,,Bachelor degree,White,,Suburban community,,26,Democratic party,
R_1IxUnC1Ai2LNN6O,5.6,4.7,5.6,,,,,,,,,,ca,Female,,Some college but no degree,"Spanish, Hispanic, or Latino,White",,Suburban community,,23,Democratic party,
R_pgYuQrLDG2gUu3L,,,,,,,8.5,3.6,9,,,,Michigan,Male,,Bachelor degree,White,,City or urban community,,32,Republican Party,
R_31tq6Xq3YvAiF5O,,,,5.1,5.1,5,,,,,,,TX,Male,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,22,Republican Party,
R_31GY6SvFSnnIbrb,,,,1,8,7,,,,,,,SC,Female,,Graduate degree,White,,Suburban community,,24,Democratic party,
R_3I3mEqpnuBuUqc8,,,,,,,1,8.4,9,,,,Virginia,Male,,Bachelor degree,Asian,,Suburban community,,24,Independent,
R_dmbWTZmYxfUD8rf,1,4.1,8.5,,,,,,,,,,MN,Female,,Bachelor degree,White,,City or urban community,,26,Democratic party,
R_25SBTaqKQlud2sn,,,,,,,,,,8,3,9,Pennsylvania,Female,,Bachelor degree,White,,City or urban community,,28,Democratic party,
R_31uu4IdhsLaI9rg,,,,,,,5.5,5.4,5.7,,,,indiana,Male,,Associate degree,White,,Suburban community,,33,Republican Party,
R_saHDalZEyYO4nFn,6,4,9,,,,,,,,,,Massachusetts,Male,,Bachelor degree,White,,Suburban community,,28,Libertarian Party,
R_241PkU9mUu5c8UW,,,,,,,,,,1,4,9,California,Female,,Some college but no degree,"Spanish, Hispanic, or Latino",,City or urban community,,28,Independent,
R_zePBKUVBBvBQSJj,,,,,,,,,,3,9,8,New York,Female,,Some college but no degree,White,,Suburban community,,56,Democratic party,
R_rrTRCsyYpgiqoLf,,,,9,1,5,,,,,,,Montana,Male,,Bachelor degree,White,,Rural community,,33,Libertarian Party,
R_yWsDqOPbTnVJrLb,,,,,,,3,9,1,,,,New Hampshire,Male,,Graduate degree,White,,Rural community,,25,Independent,
R_1LM4qGLmujO30Bt,,,,8.6,5.6,7.4,,,,,,,Arizona,Male,,Associate degree,"Spanish, Hispanic, or Latino",,Suburban community,,33,Libertarian Party,
R_1TUpgSFdGD86dQB,,,,,,,,,,7.5,2.9,4.7,Oregon,Male,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,60,Republican Party,
R_3Rqh6IoLPNFlNX4,6.4,7,6.1,,,,,,,,,,fl,Male,,Some college but no degree,White,,Suburban community,,21,Republican Party,
R_1OZhpjROFNftwOR,5.9,7.5,9,,,,,,,,,,NJ,Female,,Bachelor degree,Asian-American,,City or urban community,,39,Democratic party,
R_2CmnrxnHle7DcSO,,,,9,1.9,6.2,,,,,,,MD,Male,,Graduate degree,White,,Suburban community,,33,Democratic party,
R_2qdR7MCeVBmpH1W,,,,,,,1,9,1,,,,NJ,Male,,Associate degree,White,,Suburban community,,39,Independent,
R_2SC4I6hrlxBJrto,,,,,,,2,8.6,7.2,,,,Minnesota,Male,,Bachelor degree,White,,Suburban community,,51,Democratic party,
R_3MoE2QqPsLN6st3,,,,,,,3,7.9,9,,,,florida,Female,,Graduate degree,Asian,,Suburban community,,34,Democratic party,
R_1rNewECoVtpMQfO,,,,,,,,,,2.9,8.1,5.1,PA,Female,,Associate degree,White,,Suburban community,,40,Democratic party,
R_s5wHYFXXt8zQTG9,,,,3.2,7.6,3.4,,,,,,,New York,Male,,Bachelor degree,Asian,,City or urban community,,28,Independent,
R_2D1d7vMO4h6rhde,,,,7,5.1,7.1,,,,,,,Massachusetts,Male,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,29,Democratic party,
R_3IPOmFyCiSOJ555,2,8,6.6,,,,,,,,,,Massachusetts,Male,,Bachelor degree,White,,Suburban community,,34,Democratic party,
R_2qxiWyST3a6z6jV,,,,,,,,,,1,9,1,Georgia,Female,,Graduate degree,White,,Suburban community,,32,Independent,
R_1Ca3qmzNFzpST1i,1,4,8,,,,,,,,,,Virginia,Male,,Bachelor degree,White,,City or urban community,,33,Republican Party,
R_2xQrvZowFBGlqep,,,,,,,,,,4.4,5.6,5.2,oregon,Female,,Some college but no degree,White,,Rural community,,25,Independent,
R_2dtIOuaYBp7Dt2k,1,9,2.9,,,,,,,,,,TN,Male,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,29,Independent,
R_12sD3bzw7gtgpG6,,,,,,,2.8,7.6,4.4,,,,NC,Male,,Associate degree,White,,Rural community,,36,Libertarian Party,
R_2y4xTIDCE9xEHtY,,,,6,7.1,1,,,,,,,Indiana,Male,,Associate degree,White,,Suburban community,,29,Independent,
R_3pnfDMegmZjXM21,9,3,9,,,,,,,,,,Rhode Island,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,35,Democratic party,
R_2dYYYSTvcfzU3Zf,,,,,,,1,9,7,,,,Ok,Male,,Some college but no degree,White,,City or urban community,,55,Republican Party,
R_u1HlLIFjKyXhPMd,,,,6,4.2,9,,,,,,,Rhode Island,Female,,Bachelor degree,White,,Suburban community,,23,Democratic party,
R_3MfmU1d0EKYdewm,1,5,9,,,,,,,,,,California,Male,,Associate degree,White,,Suburban community,,46,Democratic party,
R_3Ia94v7qrmveuRi,,,,,,,,,,5.1,4.9,2.9,Georgia,Female,,Bachelor degree,White,,Suburban community,,25,Republican Party,
R_2nOW7qu4JyztXBT,,,,,,,,,,8,2.5,8.4,NC,Female,,Graduate degree,White,,Rural community,,36,Republican Party,
