StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID172807553,MTurk ID,70-40_1,70-40_2,70-40_3,100-20_1,100-20_2,100-20_3,50-55_1,50-55_2,50-55_3,90-10_1,90-10_2,90-10_3,D1,D2,D2_2_TEXT,D3,D4,D4_8_TEXT,D5,D5_4_TEXT,D6,D7,D7_5_TEXT,mTurkCode
2018-03-18 9:07:13,2018-03-18 9:08:57,IP Address,100,104,TRUE,2018-03-18 9:08:58,R_DwrOrcRdB5WvbXz,anonymous,EN,"I consent, begin the study",A21BTRGOXKCOFD,,,,9,1,7,,,,,,,IL,Male,,Graduate degree,White,,City or urban community,,27,Independent,,9540217
2018-03-18 9:06:07,2018-03-18 9:09:02,IP Address,100,175,TRUE,2018-03-18 9:09:02,R_C3Vr96tYbU5egmJ,anonymous,EN,"I consent, begin the study",AO5I5TP1CTVPV,1,3.2,7.2,,,,,,,,,,Oregon,Male,,Associate degree,White,,City or urban community,,45,Democratic party,,8211690
2018-03-18 9:05:51,2018-03-18 9:09:13,IP Address,100,202,TRUE,2018-03-18 9:09:14,R_1gjUMFk4PHQk30T,anonymous,EN,"I consent, begin the study",A2OLSZ6DD9I239,,,,,,,8,4,6.1,,,,Michigan,Female,,Bachelor degree,White,,Rural community,,55,Republican Party,,36222
2018-03-18 9:07:52,2018-03-18 9:09:27,IP Address,100,94,TRUE,2018-03-18 9:09:28,R_DpXfP8kDgKbBCqR,anonymous,EN,"I consent, begin the study",ABNR8ID5Q3CYA,4.3,2.7,7.1,,,,,,,,,,ma,Female,,Bachelor degree,White,,Suburban community,,46,Republican Party,,2778320
2018-03-18 9:08:56,2018-03-18 9:10:09,IP Address,100,72,TRUE,2018-03-18 9:10:10,R_1FCEGbkPqgDxeyJ,anonymous,EN,"I consent, begin the study",A35KO5LPASBFI9,9,7.5,9,,,,,,,,,,Florida,Female,,Some college but no degree,White,,City or urban community,,24,Independent,,1555492
2018-03-18 9:08:17,2018-03-18 9:10:10,IP Address,100,113,TRUE,2018-03-18 9:10:11,R_3NQhzF6K2BxHxP7,anonymous,EN,"I consent, begin the study",AF0QTOQIF6SMI,,,,,,,,,,1,9,7,Pennsylvania,Female,,Associate degree,White,,Suburban community,,22,Democratic party,,9394236
2018-03-18 9:07:59,2018-03-18 9:10:10,IP Address,100,131,TRUE,2018-03-18 9:10:11,R_1CfKTbZATnGHIKu,anonymous,EN,"I consent, begin the study",A34LSCB90T5KYE,,,,3.5,7.2,7.2,,,,,,,north carolina,Female,,Bachelor degree,White,,Rural community,,44,Democratic party,,9183349
2018-03-18 9:07:40,2018-03-18 9:10:22,IP Address,100,161,TRUE,2018-03-18 9:10:23,R_QiviAi8SgCD9Iyd,anonymous,EN,"I consent, begin the study",ADTYPTCW8QUQ8,9,3.9,9,,,,,,,,,,Washington,Male,,Bachelor degree,White,,City or urban community,,55,Independent,,577416
2018-03-18 9:07:57,2018-03-18 9:10:34,IP Address,100,156,TRUE,2018-03-18 9:10:35,R_1LSxtkrJiTpU435,anonymous,EN,"I consent, begin the study",A1Q2LJQG0TWBWC,,,,,,,,,,8.7,1,9,North Carolina,Female,,Bachelor degree,White,,Rural community,,71,Republican Party,,2666263
2018-03-18 9:08:02,2018-03-18 9:10:51,IP Address,100,168,TRUE,2018-03-18 9:10:52,R_3LXS1DXJlBgCEjh,anonymous,EN,"I consent, begin the study",A2Y1ORULU9ITOH,,,,,,,3,6,7,,,,CT,Female,,Graduate degree,White,,Suburban community,,48,Democratic party,,3346386
2018-03-18 9:09:06,2018-03-18 9:11:04,IP Address,100,118,TRUE,2018-03-18 9:11:05,R_3G1vebCerrYsOPY,anonymous,EN,"I consent, begin the study",A3MOH1ULLAKFU1,,,,,,,,,,9,1,2.5,tn,Female,,Some college but no degree,White,,Rural community,,37,Republican Party,,1677220
2018-03-18 9:10:02,2018-03-18 9:11:53,IP Address,100,110,TRUE,2018-03-18 9:11:54,R_OKiDYbnGI93NG0N,anonymous,EN,"I consent, begin the study",A30MTVHNNST3F,,,,,,,7.3,2.2,4,,,,PA,Female,,Associate degree,Asian,,Suburban community,,35,Republican Party,,3976870
2018-03-18 9:09:26,2018-03-18 9:11:54,IP Address,100,148,TRUE,2018-03-18 9:11:55,R_2S6yODz0WP89RX7,anonymous,EN,"I consent, begin the study",A24C6V7EV3KA0A,,,,4,3,7.6,,,,,,,GA,Female,,Graduate degree,Black or African-American,,Suburban community,,48,Democratic party,,8170258
2018-03-18 9:10:04,2018-03-18 9:12:01,IP Address,100,117,TRUE,2018-03-18 9:12:02,R_XBtOy1zgGwOwp5D,anonymous,EN,"I consent, begin the study",A1ZPOMI6ASY65K,6,4.1,8.2,,,,,,,,,,Mississippi,Male,,Some college but no degree,White,,Suburban community,,27,Republican Party,,1484856
2018-03-18 9:11:15,2018-03-18 9:12:04,IP Address,100,49,TRUE,2018-03-18 9:12:05,R_1HksxaWhrbGVmcO,anonymous,EN,"I consent, begin the study",AMYYL67LDKPDA,,,,1,8.1,5.7,,,,,,,Utah,Male,,Bachelor degree,White,,Suburban community,,39,Democratic party,,4408708
2018-03-18 9:10:42,2018-03-18 9:12:09,IP Address,100,87,TRUE,2018-03-18 9:12:10,R_1dj2elE7ZP9YR7N,anonymous,EN,"I consent, begin the study",A353STSNL3BYS6,,,,,,,7,4,8,,,,Louisiana,Female,,Graduate degree,White,,City or urban community,,38,Democratic party,,1346103
2018-03-18 9:10:36,2018-03-18 9:12:13,IP Address,100,96,TRUE,2018-03-18 9:12:14,R_1eFQUm12CwA8Rnb,anonymous,EN,"I consent, begin the study",A1R37XA9QPSIAN,,,,9,4.3,4.5,,,,,,,Idaho,Male,,Some college but no degree,White,,Rural community,,61,Republican Party,,4386905
2018-03-18 9:10:33,2018-03-18 9:12:19,IP Address,100,105,TRUE,2018-03-18 9:12:20,R_2E6qGLDA89ceQww,anonymous,EN,"I consent, begin the study",A2SSTHMYQU3ITB,,,,,,,,,,4.1,6.5,7,TEXAS,Male,,Bachelor degree,White,,Suburban community,,69,Republican Party,,6072005
2018-03-18 9:11:56,2018-03-18 9:12:39,IP Address,100,42,TRUE,2018-03-18 9:12:40,R_vi5b9Cs65svfUOJ,anonymous,EN,"I consent, begin the study",A1PD0NGV29HX0W,,,,,,,,,,6.9,7.4,7.9,Ca,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,34,Republican Party,,6272389
2018-03-18 9:09:57,2018-03-18 9:12:41,IP Address,100,163,TRUE,2018-03-18 9:12:41,R_1Q5VNY9Gg0MJb3w,anonymous,EN,"I consent, begin the study",AG430TVZD4313,,,,,,,,,,8,2,9,North Dakota,Female,,"High school degree or equivalent (e.g., GED)","White,Black or African-American",,City or urban community,,18,Independent,,3609044
2018-03-18 9:11:23,2018-03-18 9:12:45,IP Address,100,82,TRUE,2018-03-18 9:12:46,R_1OoRYf2WHoxt53G,anonymous,EN,"I consent, begin the study",A31DI99CWPTJBK,3.3,4.4,7.5,,,,,,,,,,New Jersey,Female,,Graduate degree,White,,Suburban community,,32,Republican Party,,3888686
2018-03-18 9:10:02,2018-03-18 9:12:47,IP Address,100,165,TRUE,2018-03-18 9:12:48,R_3iniCtvzPGAehp8,anonymous,EN,"I consent, begin the study",A2CNRHLND4X5GB,,,,9,3,9,,,,,,,Illinois,Male,,Bachelor degree,White,,Suburban community,,30,Democratic party,,2641663
2018-03-18 9:10:51,2018-03-18 9:13:00,IP Address,100,128,TRUE,2018-03-18 9:13:01,R_2zARxsM5nz1GieF,anonymous,EN,"I consent, begin the study",APOLY5MXUPLUM,7,3.9,9,,,,,,,,,,Colorado,Male,,Some college but no degree,White,,City or urban community,,41,Libertarian Party,,3568642
2018-03-18 9:10:45,2018-03-18 9:13:02,IP Address,100,137,TRUE,2018-03-18 9:13:03,R_UlpXRLMA1xOKNIB,anonymous,EN,"I consent, begin the study",A384RJJPFR9FWR,,,,,,,,,,9,2,9,Florida,Female,,Graduate degree,"White,Black or African-American",,City or urban community,,65,Independent,,1991014
2018-03-18 9:08:53,2018-03-18 9:13:06,IP Address,100,252,TRUE,2018-03-18 9:13:07,R_rkmxV6QQ81QuDPX,anonymous,EN,"I consent, begin the study",A1F1OZ54G177D8,,,,,,,6.1,6.6,6.7,,,,Oregon,Male,,Associate degree,White,,Rural community,,44,Libertarian Party,,9500119
2018-03-18 9:11:30,2018-03-18 9:13:10,IP Address,100,99,TRUE,2018-03-18 9:13:12,R_1j9h8tKsTJrfbeG,anonymous,EN,"I consent, begin the study",AKM6CK7MY7LOE,,,,1,9,1,,,,,,,Pa,Female,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,51,Democratic party,,5337492
2018-03-18 9:11:08,2018-03-18 9:13:16,IP Address,100,127,TRUE,2018-03-18 9:13:17,R_3dPQVfiQtV54QBk,anonymous,EN,"I consent, begin the study",A6YDORFZZXXPQ,,,,,,,3.4,4.2,6.9,,,,North Carolina,Male,,Bachelor degree,Asian,,Suburban community,,38,Democratic party,,1370420
2018-03-18 9:11:44,2018-03-18 9:13:33,IP Address,100,109,TRUE,2018-03-18 9:13:34,R_3GqEgANxVC4XPt1,anonymous,EN,"I consent, begin the study",ADOVF9SBJJK33,1,9,4,,,,,,,,,,Michigan,Male,,Some college but no degree,White,,Suburban community,,31,Independent,,8175636
2018-03-18 9:12:37,2018-03-18 9:13:34,IP Address,100,57,TRUE,2018-03-18 9:13:35,R_28MUJUf5xyKkDL9,anonymous,EN,"I consent, begin the study",A3O71N1DK8FP3Y,5.9,6,6.1,,,,,,,,,,ny,Female,,Bachelor degree,White,,Rural community,,36,Republican Party,,383989
2018-03-18 9:10:53,2018-03-18 9:13:49,IP Address,100,175,TRUE,2018-03-18 9:13:50,R_1ig0Wpll0k2k9fC,anonymous,EN,"I consent, begin the study",A1SEOOI4EEHKG,,,,,,,7.7,3.6,3.6,,,,AR,Female,,Graduate degree,White,,Rural community,,61,Other (please specify):,Green,340043
2018-03-18 9:11:52,2018-03-18 9:13:51,IP Address,100,119,TRUE,2018-03-18 9:13:52,R_8k5LaUMoCF7J7Zn,anonymous,EN,"I consent, begin the study",A1DM7EO9XBCHAZ,,,,,,,,,,8.6,3.1,8.1,South Carolina,Male,,Some college but no degree,White,,City or urban community,,34,Republican Party,,1268879
2018-03-18 9:12:09,2018-03-18 9:14:45,IP Address,100,155,TRUE,2018-03-18 9:14:46,R_ufyEoJxNm7DtcY1,anonymous,EN,"I consent, begin the study",A11R8G0FYA2UVQ,,,,9,4.2,9,,,,,,,fl,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,59,Libertarian Party,,9034147
2018-03-18 9:13:58,2018-03-18 9:15:20,IP Address,100,82,TRUE,2018-03-18 9:15:21,R_2aY0vJ7PlsCQ20y,anonymous,EN,"I consent, begin the study",A2WKLFDPHPHEOW,6.6,5.9,7.3,,,,,,,,,,FL,Female,,Associate degree,White,,Suburban community,,38,Democratic party,,2675123
2018-03-18 9:12:50,2018-03-18 9:15:23,IP Address,100,153,TRUE,2018-03-18 9:15:24,R_32RbJAEGclskzOQ,anonymous,EN,"I consent, begin the study",A1KJ9LYACAKIM6,,,,,,,6.6,6,5.1,,,,Louisiana,Female,,Bachelor degree,White,,Rural community,,47,Independent,,5067780
2018-03-18 9:14:22,2018-03-18 9:15:59,IP Address,100,97,TRUE,2018-03-18 9:16:00,R_3KU4AqlHzSHWjai,anonymous,EN,"I consent, begin the study",A28QJ8W2LQRXYQ,,,,,,,,,,8.1,4.2,9,Virginia,Female,,Bachelor degree,White,,Rural community,,31,Republican Party,,8583378
2018-03-18 9:14:09,2018-03-18 9:16:00,IP Address,100,111,TRUE,2018-03-18 9:16:01,R_2V1ookGoqE1Hg7G,anonymous,EN,"I consent, begin the study",A1KZ0KE93WNN5O,,,,1,9,6.4,,,,,,,ohio,Female,,Some college but no degree,White,,Rural community,,50,Democratic party,,1653778
2018-03-18 9:13:05,2018-03-18 9:16:14,IP Address,100,188,TRUE,2018-03-18 9:16:15,R_3ER9Ai9SURNrkGL,anonymous,EN,"I consent, begin the study",A3LNBJ3F5LWMYK,,,,,,,8.1,4,3,,,,Nevada,Female,,Bachelor degree,White,,Rural community,,53,Republican Party,,1904156
2018-03-18 9:14:57,2018-03-18 9:16:28,IP Address,100,90,TRUE,2018-03-18 9:16:28,R_OpyLG3jDlQoh8VX,anonymous,EN,"I consent, begin the study",A1BTZRP5VVYGCC,9,7.9,8.5,,,,,,,,,,USA,Male,,Bachelor degree,Black or African-American,,Rural community,,30,Republican Party,,7118838
2018-03-18 9:14:15,2018-03-18 9:16:51,IP Address,100,156,TRUE,2018-03-18 9:16:52,R_tS5pzQ43u3SWdVL,anonymous,EN,"I consent, begin the study",A2RSG8IMB0ZOB5,9,9,9,,,,,,,,,,Ohio,Female,,Bachelor degree,White,,City or urban community,,60,Democratic party,,1967478
2018-03-18 9:14:39,2018-03-18 9:16:53,IP Address,100,133,TRUE,2018-03-18 9:16:54,R_3dVTEbicGX9Zlem,anonymous,EN,"I consent, begin the study",A1DJEWE7PY7YQX,,,,,,,,,,3.6,6,4,California,Female,,Some college but no degree,White,,Rural community,,62,Independent,,775250
2018-03-18 9:15:02,2018-03-18 9:17:10,IP Address,100,127,TRUE,2018-03-18 9:17:10,R_2tfXYvX3sJnBhFY,anonymous,EN,"I consent, begin the study",A3SUJYKV0JT0HA,,,,7.2,5.9,8.3,,,,,,,California,Female,,Bachelor degree,White,,Rural community,,29,Democratic party,,6428130
2018-03-18 9:14:49,2018-03-18 9:17:13,IP Address,100,143,TRUE,2018-03-18 9:17:14,R_3fNw9eD1M9uIUen,anonymous,EN,"I consent, begin the study",A3PTO5D1UR8CP0,,,,,,,9,9,9,,,,MD,Female,,Graduate degree,White,,Suburban community,,30,Independent,,8147481
2018-03-18 9:13:55,2018-03-18 9:17:52,IP Address,100,236,TRUE,2018-03-18 9:17:53,R_2YS2mKf1bHqF3BX,anonymous,EN,"I consent, begin the study",A1CY01G7686ORZ,,,,1,9,1,,,,,,,PA,Female,,Some college but no degree,White,,Suburban community,,35,Republican Party,,9969891
2018-03-18 9:15:26,2018-03-18 9:18:21,IP Address,100,174,TRUE,2018-03-18 9:18:21,R_es4jPAhCC8FbJ3X,anonymous,EN,"I consent, begin the study",A161AJDHLJVCLZ,,,,,,,,,,7.1,3.8,6,PA,Female,,Graduate degree,White,,Suburban community,,30,Democratic party,,1435339
2018-03-18 9:17:01,2018-03-18 9:18:21,IP Address,100,79,TRUE,2018-03-18 9:18:22,R_3flcp31dlABIF3N,anonymous,EN,"I consent, begin the study",A1OKMU27HBN9T3,,,,,,,6.6,2.5,3.3,,,,pa,Female,,Bachelor degree,White,,Suburban community,,45,Independent,,1092489
2018-03-18 9:17:15,2018-03-18 9:18:39,IP Address,100,84,TRUE,2018-03-18 9:18:40,R_Q0uAmbncEu6b7sR,anonymous,EN,"I consent, begin the study",A2R2FQX11VOMYG,,,,,,,,,,8.7,7.6,7.5,usa,Male,,Bachelor degree,Black or African-American,,City or urban community,,30,Republican Party,,545928
2018-03-18 9:17:06,2018-03-18 9:18:52,IP Address,100,105,TRUE,2018-03-18 9:18:52,R_10pA0uK7sJw2XjD,anonymous,EN,"I consent, begin the study",A15X6O2JE40VGB,1.3,9,8.2,,,,,,,,,,co,Female,,Graduate degree,Other (please specify):,multiple,Suburban community,,35,Independent,,2829062
2018-03-18 9:16:49,2018-03-18 9:18:57,IP Address,100,127,TRUE,2018-03-18 9:18:58,R_PA87JLK6jb8dWNz,anonymous,EN,"I consent, begin the study",A2BXQ8SZLFQF4D,,,,1,2.9,9,,,,,,,Michigan,Female,,Bachelor degree,White,,Other (please specify):,Small Town,56,Republican Party,,984910
2018-03-18 9:18:10,2018-03-18 9:19:41,IP Address,100,91,TRUE,2018-03-18 9:19:42,R_AtkSmY2CXSrkCfn,anonymous,EN,"I consent, begin the study",AFEL74X320SX4,,,,,,,8.4,8.8,7.9,,,,USA,Male,,Bachelor degree,Black or African-American,,Suburban community,,30,Republican Party,,8346429
2018-03-18 9:17:28,2018-03-18 9:20:37,IP Address,100,189,TRUE,2018-03-18 9:20:38,R_1otM3lh1qhMQDvU,anonymous,EN,"I consent, begin the study",A3KF9DXMEZBAPG,,,,5.4,4,5.5,,,,,,,texas,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,29,Independent,,6981042
2018-03-18 9:19:12,2018-03-18 9:21:29,IP Address,100,137,TRUE,2018-03-18 9:21:30,R_8BaXvwZGA1DOuxH,anonymous,EN,"I consent, begin the study",A4Q5UMLPP39P0,9,1,1.1,,,,,,,,,,Oklahoma,Male,,Some college but no degree,White,,Rural community,,21,"Libertarian Party,Independent",,21463
2018-03-18 9:19:43,2018-03-18 9:21:30,IP Address,100,107,TRUE,2018-03-18 9:21:30,R_3P6rWesg3VQ3RNs,anonymous,EN,"I consent, begin the study",A6W0BC36U0TUS,1.2,9,7,,,,,,,,,,South Carolina,Female,,Some college but no degree,White,,Suburban community,,31,Republican Party,,2196107
2018-03-18 9:20:30,2018-03-18 9:21:46,IP Address,100,76,TRUE,2018-03-18 9:21:47,R_2fybbCJFJf4kKwO,anonymous,EN,"I consent, begin the study",A1BVEXQ684HDEP,,,,2.9,9,5,,,,,,,Florida ,Female,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,23,Independent,,8108582
2018-03-18 9:22:18,2018-03-18 9:23:23,IP Address,100,64,TRUE,2018-03-18 9:23:23,R_3F3R7N0uNj4yYrc,anonymous,EN,"I consent, begin the study",A39HSOL2DZIR2Y,,,,,,,,,,1,9,9,Kentucky,Male,,Bachelor degree,White,,Rural community,,22,Democratic party,,8177595
2018-03-18 9:22:11,2018-03-18 9:23:25,IP Address,100,74,TRUE,2018-03-18 9:23:26,R_0HULn9iETMMVCfL,anonymous,EN,"I consent, begin the study",A2G4PA35IX5RIA,,,,,,,5.1,7.5,9,,,,Texas,Male,,Some college but no degree,White,,City or urban community,,29,Libertarian Party,,2054950
2018-03-18 9:22:23,2018-03-18 9:23:28,IP Address,100,64,TRUE,2018-03-18 9:23:29,R_1JUyuvnZNlkPmQf,anonymous,EN,"I consent, begin the study",A16G5NXTYXCZHX,,,,,,,,,,5.3,5.6,5.5,utah,Female,,Less than high school degree,White,,City or urban community,,28,Independent,,9150433
2018-03-18 9:22:17,2018-03-18 9:23:59,IP Address,100,102,TRUE,2018-03-18 9:24:00,R_3k0XXgENxrkBmpa,anonymous,EN,"I consent, begin the study",A3GAQNTZ1V1VO,7.7,6.9,8.2,,,,,,,,,,Pennsylvania,Male,,Graduate degree,Asian-American,,City or urban community,,27,Independent,,1431962
2018-03-18 9:19:07,2018-03-18 9:24:00,IP Address,100,293,TRUE,2018-03-18 9:24:01,R_1NncFYdUD0zoakQ,anonymous,EN,"I consent, begin the study",A3F51C49T9A34D,,,,,,,6,5.5,7.5,,,,texas,Male,,Graduate degree,White,,Suburban community,,52,Independent,,1718780
2018-03-18 9:22:24,2018-03-18 9:24:26,IP Address,100,122,TRUE,2018-03-18 9:24:27,R_1BXTn5tfWedsgOy,anonymous,EN,"I consent, begin the study",A2UJ9BXRZK6ZL4,,,,9,1,3.7,,,,,,,Texas,Female,,Graduate degree,"Spanish, Hispanic, or Latino",,City or urban community,,44,Democratic party,,395761
2018-03-18 9:23:45,2018-03-18 9:26:02,IP Address,100,137,TRUE,2018-03-18 9:26:03,R_3QKHS3xxdY4M6jS,anonymous,EN,"I consent, begin the study",A17FU7PPRP3JM8,,,,,,,2.9,8.1,8.3,,,,california,Male,,Graduate degree,Asian,,Suburban community,,30,Democratic party,,1454058
2018-03-18 9:21:38,2018-03-18 9:26:26,IP Address,100,287,TRUE,2018-03-18 9:26:27,R_1HuhW1vl6DvwtIR,anonymous,EN,"I consent, begin the study",A1YBX7P5PY8LL,,,,,,,,,,8.4,2.9,8.3,Massachusetts ,Male,,Graduate degree,White,,Suburban community,,35,Democratic party,,9913731
2018-03-18 9:25:25,2018-03-18 9:26:56,IP Address,100,90,TRUE,2018-03-18 9:26:56,R_3pr6EHp3DwEukhC,anonymous,EN,"I consent, begin the study",A1WTUFTRMUN5IR,,,,2.9,1,8.9,,,,,,,New york,Male,,Some college but no degree,White,,Suburban community,,24,Democratic party,,3100487
2018-03-18 9:25:25,2018-03-18 9:27:21,IP Address,100,115,TRUE,2018-03-18 9:27:22,R_1rOjHWSxkJhqtxc,anonymous,EN,"I consent, begin the study",A3W41C5MFM1ZZ6,3.3,3.1,8,,,,,,,,,,North Carolina,Male,,Bachelor degree,White,,Suburban community,,32,Republican Party,,6329026
2018-03-18 9:27:30,2018-03-18 9:28:40,IP Address,100,69,TRUE,2018-03-18 9:28:41,R_x8UsUyuG4GmXF61,anonymous,EN,"I consent, begin the study",A2JLHPINQIBZBB,,,,,,,3,6,8,,,,Virginia,Male,,Graduate degree,White,,City or urban community,,27,Democratic party,,1254041
2018-03-18 9:28:28,2018-03-18 9:29:39,IP Address,100,71,TRUE,2018-03-18 9:29:40,R_1C7JKpT2a0F7RWf,anonymous,EN,"I consent, begin the study",AVUTKN1N2TIF4,,,,,,,9,9,9,,,,NC,Female,,Graduate degree,White,,Suburban community,,38,Democratic party,,2444893
2018-03-18 9:28:47,2018-03-18 9:30:26,IP Address,100,98,TRUE,2018-03-18 9:30:27,R_26mwwNHBb0qoqGI,anonymous,EN,"I consent, begin the study",A39ZMNLNF8M7H6,3.9,3.8,9,,,,,,,,,,Michigan,Male,,Associate degree,White,,Suburban community,,33,Independent,,8915014
2018-03-18 9:29:06,2018-03-18 9:30:38,IP Address,100,92,TRUE,2018-03-18 9:30:39,R_12u8U3oj84vXu5X,anonymous,EN,"I consent, begin the study",A31PCN2LP7DP8I,,,,,,,,,,8,3,8.6,Pennsylvania,Female,,Associate degree,White,,Suburban community,,35,Democratic party,,9937131
2018-03-18 9:26:04,2018-03-18 9:31:01,IP Address,100,296,TRUE,2018-03-18 9:31:02,R_1lfs4Pmi7aKS3GO,anonymous,EN,"I consent, begin the study",APDZ10TRIR1Q9,,,,7,1,7.9,,,,,,,Massachusetts,Male,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,29,Democratic party,,6046963
2018-03-18 9:29:37,2018-03-18 9:31:29,IP Address,100,112,TRUE,2018-03-18 9:31:30,R_1MRhwlxXsnJ8PiB,anonymous,EN,"I consent, begin the study",AASWAMYQ9PXMQ,,,,,,,,,,9,9,9,Illinois,Female,,Associate degree,White,,Suburban community,,44,Republican Party,,842491
2018-03-18 9:29:19,2018-03-18 9:32:14,IP Address,100,175,TRUE,2018-03-18 9:32:15,R_e2M8WTQu0TWrPQl,anonymous,EN,"I consent, begin the study",A19OEH9E8SNCD1,1,9,4.1,,,,,,,,,,lorida,Female,,Some college but no degree,White,,City or urban community,,38,Democratic party,,4675443
