ResponseId,7040_1,7040_2,7040_3,10020_1,10020_2,10020_3,5550_1,5550_2,5550_3,9010_1,9010_2,9010_3,State,Gender,D2_2_TEXT,Education,Race,D4_8_TEXT,Community,D5_4_TEXT,D6,D7,D7_5_TEXT
R_3qCij4awKjTX8gw,,,,8.3,6.1,8.1,,,,,,,ga,Female,,Bachelor degree,Black or African-American,,Rural community,,34,Democratic party,
R_1dp0zL5qBVraNMt,,,,4.8,6.8,3.2,,,,,,,michigan,Female,,Associate degree,White,,Suburban community,,35,Independent,
R_2CWdeZTJJoMFrHm,5.1,5.5,7,,,,,,,,,,Pennsylvania,Male,,Graduate degree,"Asian,Asian-American",,City or urban community,,27,Independent,
R_3hG4C7zh6teUmiU,9,6,9,,,,,,,,,,Florida,Female,,Bachelor degree,Other (please specify):,mixed,City or urban community,,41,Independent,
R_24uwgm7ENXUjnK3,,,,,,,9,9,8.8,,,,usa,Male,,Bachelor degree,Black or African-American,,Rural community,,30,Republican Party,
R_2v1xd4kXGPudhWB,,,,,,,,,,7.7,4.1,5.7,Oregon,Male,,Associate degree,White,,Rural community,,44,Libertarian Party,
R_3kcXr3tmDsGX4s0,3.5,8.1,6.2,,,,,,,,,,CA,Male,,Bachelor degree,White,,City or urban community,,33,Democratic party,
R_SIQQxwtLhtNAoox,,,,7.5,1,9,,,,,,,mt,Male,,Associate degree,"Spanish, Hispanic, or Latino",,City or urban community,,30,Libertarian Party,
R_31Y5UbY7R4xqDWj,,,,,,,8.5,9,9,,,,USA,Male,,Bachelor degree,Black or African-American,,Rural community,,30,Republican Party,
R_yraR9pdZqYEdAlz,,,,,,,,,,8.5,5,7.7,Washington,Male,,Associate degree,White,,Suburban community,,25,Democratic party,
R_w6mNar8rUSlFrpv,,,,,,,,,,1,9,1,Illinois,Male,,Bachelor degree,White,,City or urban community,,48,Republican Party,
R_2UiulU0hCfhESL9,,,,9,3.8,8.1,,,,,,,FL,Male,,Bachelor degree,Black or African-American,,Suburban community,,45,Republican Party,
R_2ZE7GPdjZN3lL10,,,,,,,,,,1,9,1.5,NJ,Male,,Some college but no degree,Asian,,Suburban community,,34,Democratic party,
R_3HM1fWkSQvJJ4id,,,,9,1.5,7.1,,,,,,,Utah,Female,,Some college but no degree,White,,Suburban community,,38,Republican Party,
R_3oAYxRl5Mzzv25x,2.8,7.2,5.9,,,,,,,,,,Nevada,Female,,Some college but no degree,White,,City or urban community,,37,Independent,
R_3PlhUaMg4ybcZ5D,,,,,,,,,,1,9,1,PA,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,24,Democratic party,
R_3iXd1Bj2enVHRAF,,,,6.3,5.5,7.6,,,,,,,New Jersey,Male,,Bachelor degree,White,,Suburban community,,30,Democratic party,
R_29prJ16HvjdGHuJ,,,,6,4,8,,,,,,,Minnesota,Female,,Some college but no degree,White,,Suburban community,,55,Republican Party,
R_yJXfqTx8JkCZIXL,,,,,,,1,4,9,,,,Colorado,Male,,Some college but no degree,White,,Suburban community,,47,Democratic party,
R_1kHcDJ76hPP1Cm5,7.6,1.8,6.6,,,,,,,,,,Maine,Female,,Bachelor degree,White,,Rural community,,42,Democratic party,
R_2YPu665rr4UQKjf,1,9,1,,,,,,,,,,Maryland,Male,,Bachelor degree,White,,Rural community,,24,Republican Party,
R_1mfTCdcqFd8p55K,6,5,7.5,,,,,,,,,,NH,Male,,Some college but no degree,White,,Suburban community,,34,Independent,
R_28A2ZTObitqxNPJ,,,,,,,1,8.1,9,,,,Washington,Male,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,55,Republican Party,
R_ZpKDQem5GZWo4kV,,,,,,,,,,1,9,6,Florida,Female,,Associate degree,White,,Suburban community,,60,Republican Party,
R_1I60huQol0jTnFN,,,,,,,1.4,5.9,8.1,,,,New York,Male,,Some college but no degree,White,,Suburban community,,49,Democratic party,
R_a9OwclNX0R8jCx3,,,,,,,,,,7.9,3,9,Minnesota,Male,,Bachelor degree,White,,Suburban community,,56,Independent,
R_1d4YRwCKjpBGUe4,,,,,,,4,8,8.9,,,,MD,Male,,Bachelor degree,White,,Rural community,,26,Republican Party,
R_31pBghxywNewfIz,,,,7.5,4,8.5,,,,,,,Florida,Female,,Some college but no degree,White,,Suburban community,,68,Democratic party,
R_6SubIkyYVECajw5,,,,,,,,,,8,5.9,8,VT,Female,,Bachelor degree,White,,Suburban community,,38,Independent,
R_3nCvvSFKuD2HWFm,,,,1,5.1,8,,,,,,,NY,Male,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,22,Independent,
R_3HozEHK27yaKwFJ,,,,9,1,9,,,,,,,Texas,Female,,Associate degree,White,,Rural community,,47,Independent,
R_3G7ctfemJcd4G3L,,,,,,,3,5.6,9,,,,tn,Female,,Associate degree,Other (please specify):,American,Rural community,,45,Independent,
R_PSbUhvcpepw8dLH,7.6,5,6.8,,,,,,,,,,Illinois,Female,,Associate degree,White,,Rural community,,38,Republican Party,
R_1Zddli2i41bK9gZ,,,,,,,1.9,2,2.6,,,,GA,Male,,Bachelor degree,Black or African-American,,City or urban community,,28,Independent,
R_2agEBoNUc9n8Mx2,,,,,,,,,,8.1,3,8.5,Texas,Male,,Some college but no degree,"Spanish, Hispanic, or Latino",,Suburban community,,22,Independent,
R_33eXW4grWcIQjqj,7.8,2.5,8.3,,,,,,,,,,Ga,Female,,Bachelor degree,White,,Suburban community,,51,Democratic party,
R_daOI3zqa8DFYklH,,,,,,,,,,7.1,4.2,8,New York,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,31,Republican Party,
R_pJzR3154Y82rj7r,3.2,7,2.7,,,,,,,,,,ga,Female,,Associate degree,Black or African-American,,Suburban community,,28,Democratic party,
R_2aLZkaJqqO2EUVa,,,,1.4,8.9,4.1,,,,,,,FL,Male,,Associate degree,White,,City or urban community,,31,Democratic party,
R_2dNgMh220x31L0A,1,5.2,8.1,,,,,,,,,,TN,Female,,Bachelor degree,White,,Suburban community,,27,Independent,
R_TbDce2dXzYu1jLr,5,9,9,,,,,,,,,,Florida,Female,,Some college but no degree,"Spanish, Hispanic, or Latino,Black or African-American",,Suburban community,,33,Libertarian Party,
R_TuTh7p9tW4Q99br,,,,8,3,4.5,,,,,,,Florida,Male,,Graduate degree,"White,Asian",,Suburban community,,28,Democratic party,
R_1C3o8TsJy74iym2,,,,,,,1,1,9,,,,NC,Female,,Associate degree,Black or African-American,,Rural community,,29,Democratic party,
R_7R0dx2sxybc2TKh,6,4.1,9,,,,,,,,,,nh,Male,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,20,Independent,
R_1JQkzxsSn6oIiiZ,,,,,,,1,9,1,,,,Tennessee,Female,,Some college but no degree,White,,City or urban community,,26,Democratic party,
R_1qUvUENrCXrkMY1,,,,2,8.3,2,,,,,,,Illinois,Male,,Bachelor degree,White,,City or urban community,,29,Republican Party,
R_2SAm8jrfrFD11rB,8,8,9,,,,,,,,,,Tennessee,Female,,Bachelor degree,White,,Suburban community,,52,Republican Party,
R_3PAfIhsKZtzAaBP,,,,,,,4,7,9,,,,Maryland,Female,,Bachelor degree,White,,Suburban community,,40,Republican Party,
R_31yMgXXQlwwbqzL,,,,,,,,,,1,3.9,9,Indiana,Male,,Some college but no degree,White,,Suburban community,,25,Other (please specify):,
R_33pVjFmD2NRyfUK,,,,,,,,,,4,6,5,Virginia,Female,,Graduate degree,Black or African-American,,Suburban community,,63,Democratic party,
R_2CIADigirv9iAa4,,,,2.6,6.9,4,,,,,,,fl,Female,,Some college but no degree,White,,Suburban community,,49,Democratic party,
R_cCvl8ZfZMQx365r,,,,,,,,,,6.6,3.6,7.7,NY,Male,,Bachelor degree,White,,Suburban community,,41,Democratic party,
R_Tj5kkTBmhjnKixX,,,,,,,7.8,3.9,8.4,,,,OR,Male,,Some college but no degree,White,,Rural community,,26,Democratic party,
R_21tiOJCMVgYXQmF,,,,,,,,,,2,8,3,Kansas,Male,,Some college but no degree,White,,Rural community,,27,Independent,
R_zdOGlaG5P5nx39v,,,,9,1,9,,,,,,,Texas,Female,,Bachelor degree,Black or African-American,,Suburban community,,34,Independent,
R_12y9WqteA6vpHed,2,8,7,,,,,,,,,,Illinois,Female,,Bachelor degree,White,,Suburban community,,48,Republican Party,
R_rf1lNkd8bbtcFc5,,,,,,,9,8.5,9,,,,Georgia,Female,,Associate degree,White,,Suburban community,,47,Libertarian Party,
R_27rp8X67GPbr5Uv,,,,,,,,,,7.6,8.3,9,Oregon,Male,,Some college but no degree,White,,Rural community,,41,Independent,
R_DH4yIPI8aqyBOGR,,,,,,,7.9,3.5,9,,,,Wisconsin,Female,,Associate degree,White,,Suburban community,,48,Republican Party,
R_31sij8wrWkJtK3D,,,,2.4,5.6,7,,,,,,,Texas,Male,,Some college but no degree,White,,Suburban community,,24,Independent,
R_3J9tATthdEIIT65,3,4,5,,,,,,,,,,Ohio,Male,,Bachelor degree,White,,Suburban community,,70,Republican Party,
R_2yq32V5ritGzqaZ,,,,,,,,,,4.7,2.6,7.3,North Carolina,Male,,Bachelor degree,White,,Suburban community,,24,Independent,
R_3PN8MSeYNvnxz3c,7,4.1,7.6,,,,,,,,,,Illinois,Female,,Bachelor degree,White,,Suburban community,,43,Democratic party,
R_30r7hKC4GZGgDo0,,,,,,,,,,7.7,3.5,8.3,NJ,Female,,Associate degree,White,,City or urban community,,28,Democratic party,
R_3ISlYG7EH9XPJgV,,,,1,8.9,1.4,,,,,,,Massachusetts,Male,,Bachelor degree,White,,City or urban community,,36,Independent,
R_Ung2GjsbBUFaaC5,,,,,,,,,,8,6.6,9,texas,Female,,Some college but no degree,White,,Rural community,,32,Libertarian Party,
R_1rwUQcstU8H8aDA,,,,4.2,2.4,7.9,,,,,,,Georgia,Female,,Bachelor degree,White,,Suburban community,,62,Democratic party,
R_1FQvcTcmY57BQPv,,,,,,,4.5,7.9,9,,,,Florida,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,69,Democratic party,
R_1GVQ1EyLhSkxLG2,9,9,1,,,,,,,,,,Maryland,Male,,Bachelor degree,White,,City or urban community,,23,Democratic party,
R_3svLIKhwWA2e9tD,9,7,9,,,,,,,,,,California,Female,,Bachelor degree,"Spanish, Hispanic, or Latino",,Suburban community,,27,Democratic party,
R_RsoYvxwu3nysMuZ,,,,,,,7,8,8,,,,Indiana,Female,,Some college but no degree,Black or African-American,,City or urban community,,43,Independent,
R_29uyTpKZbsYBDdF,,,,9,2.8,7.3,,,,,,,new york,Female,,Bachelor degree,White,,City or urban community,,31,Democratic party,
R_24i4nPArAZ3hqwM,7.3,3.5,9,,,,,,,,,,Texas,Female,,Some college but no degree,White,,Rural community,,32,Democratic party,
R_3fH55b3qrcEcP2f,,,,,,,1,7.5,9,,,,Michigan,Female,,Graduate degree,White,,Rural community,,58,Republican Party,
R_2B55TB5tiPdYz06,,,,,,,8,4,7,,,,New York,Female,,Graduate degree,White,,City or urban community,,35,Independent,
R_2uErx54CPAwqZ8V,,,,,,,,,,8.9,2.3,7.1,NC,Female,,Bachelor degree,White,,Suburban community,,32,Democratic party,
R_1EbyixXGMNhXNCP,,,,,,,9,4.1,6.8,,,,texas,Female,,Some college but no degree,"Spanish, Hispanic, or Latino",,Suburban community,,23,Democratic party,
R_2E0rQfwX5htiYKd,,,,,,,,,,9,1.3,9,pa,Female,,Some college but no degree,White,,Suburban community,,48,Republican Party,
R_1dH6o9O9bAoeyFL,,,,4,2,9,,,,,,,Florida,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,35,Republican Party,
R_3RkD0mhzbro8h6W,1,5,1,,,,,,,,,,South Carolina,Female,,Some college but no degree,White,,Suburban community,,47,Republican Party,
R_3PhLf7UDibGoODK,,,,,,,8.2,8,1.4,,,,CA,Female,,Some college but no degree,White,,Rural community,,44,Republican Party,
R_32PyUtpudT76a2g,,,,9,1,1,,,,,,,Indiana,Female,,Bachelor degree,White,,Suburban community,,55,Independent,
R_2bPMOYgq1lsH9HN,3,9,7.1,,,,,,,,,,illinois,Female,,Some college but no degree,White,,Rural community,,29,Independent,
R_1lmBns1GzJ0C0Li,,,,1,4,3,,,,,,,FL,Female,,Bachelor degree,Asian,,Suburban community,,23,Democratic party,
R_31sJR5buSuwXWIC,1,1,1,,,,,,,,,,Kentucky,Female,,Associate degree,White,,Suburban community,,42,Democratic party,
R_1nU4AVtjDABF4Zp,,,,,,,2,8.2,4.6,,,,Connecticut,Female,,Associate degree,White,,Suburban community,,26,Democratic party,
R_2Ea5wjGBNWVGX02,,,,,,,,,,9,1.9,7,Arkansas,Male,,Graduate degree,White,,Rural community,,36,Libertarian Party,
R_RrfpTEz41IirqJb,,,,9,2,9,,,,,,,Ohio,Female,,Associate degree,White,,City or urban community,,60,Other (please specify):,Constitution
R_pa7IRiiN9LAz1uh,,,,,,,,,,3,4,1,WASHINGON,Female,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,66,Republican Party,
R_2rCnOSuBOqIRvM5,,,,,,,7.8,6.8,9,,,,New Jersey,Female,,Some college but no degree,White,,Suburban community,,30,Green Party,
R_1DoHiln5dUzeQgQ,1.8,4.7,6,,,,,,,,,,KY,Male,,Some college but no degree,White,,Suburban community,,41,Republican Party,
R_2EEv2mJZWN9XI0s,,,,,,,,,,8.1,2.9,7,Georgia,Female,,Associate degree,White,,Suburban community,,51,Democratic party,
R_dap6zKHil0MyYWR,,,,,,,9,6.8,3.2,,,,Idaho,Male,,Some college but no degree,White,,Rural community,,61,Republican Party,
R_1NkqFIGLKvXSErH,1,5.9,1,,,,,,,,,,Pennsylvania,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,29,Democratic party,
R_r8XbP2UXa25Hr0Z,,,,6.7,5.8,5.6,,,,,,,Missouri,Female,,Graduate degree,White,,Suburban community,,27,Democratic party,
R_23gbQeShWbpAq25,,,,,,,4,6,4.5,,,,NM,Male,,Associate degree,White,,Rural community,,30,Independent,
R_2DUBueOB5wvxsnl,,,,,,,,,,2.9,9,4.7,Tx,Female,,Some college but no degree,White,,City or urban community,,43,Republican Party,
R_1gRsLT9wIEwzXW0,,,,,,,,,,6.5,2.1,8.6,Florida,Female,,Associate degree,"Spanish, Hispanic, or Latino",,City or urban community,,20,Democratic party,
R_1LCmJGBO8rgReju,8,4,8,,,,,,,,,,Alabama,Male,,Graduate degree,White,,City or urban community,,29,Democratic party,
R_31YHfFP8Z24EvnJ,,,,,,,7.6,6.6,4,,,,Georgia,Male,,Bachelor degree,White,,City or urban community,,29,Republican Party,
R_3ragZB5wm4LFASl,,,,9,5,9,,,,,,,California,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,Suburban community,,25,Democratic party,
R_1EiKxPoKHl8fIY4,5,1,9,,,,,,,,,,Tennessee,Female,,Bachelor degree,White,,Suburban community,,26,Republican Party,
R_805VXG4S8K4lEVr,,,,9,9,8,,,,,,,Oklahoma,Female,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,41,Independent,
R_tG1Q0Eb5gBzujoB,,,,,,,4.9,7.3,8.9,,,,Florida,Male,,Bachelor degree,Asian,,Suburban community,,35,Democratic party,
R_rcCJ8GXHxGdqJhf,1,9,9,,,,,,,,,,illinois,Female,,Associate degree,White,,Rural community,,40,Republican Party,
R_3fUyouyvQpzarvC,9,1,7.5,,,,,,,,,,TX,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,City or urban community,,49,Republican Party,
R_3CUBFS3SJ03P5Ru,,,,,,,1,8,8,,,,tx,Male,,Some college but no degree,White,,Suburban community,,48,Republican Party,
R_2QX9iWFnvV6MND5,,,,,,,,,,5.1,8,6,Virginia,Male,,Graduate degree,"Spanish, Hispanic, or Latino",,Suburban community,,42,Democratic party,
R_UQ5Rgt5VfGhYgF3,,,,,,,,,,6.1,5.2,7.3,Nebraska,Male,,Bachelor degree,White,,Rural community,,26,Democratic party,
R_27TnY1W2Szw0Nc4,,,,,,,1,9,4.3,,,,Minnesota,Female,,Some college but no degree,White,,Suburban community,,21,Independent,
R_2EbJFj7iINXTrQt,,,,,,,,,,7,9,9,California,Male,,Some college but no degree,White,,Rural community,,57,Republican Party,
R_0wHh6VtsPWkwulj,,,,4.4,2.9,7.4,,,,,,,New Jersey,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,Suburban community,,33,Independent,
R_3iQlrhG455xMRnW,3.2,1,9,,,,,,,,,,North Carolina,Female,,Bachelor degree,White,,Suburban community,,46,Republican Party,
R_1gTQjDigrPv8ldA,,,,,,,,,,1,5,1,PA,Female,,Associate degree,White,,Rural community,,47,Independent,
R_2dJXPufG17fvJ79,3.7,5.1,4.4,,,,,,,,,,CO,Female,,Graduate degree,White,,City or urban community,,51,Democratic party,
R_2az8RwxplYhzEB2,,,,1,1,1,,,,,,,Florida,Female,,Some college but no degree,White,,Other (please specify):,Island town,59,Democratic party,
R_3Mhhil2AqeZaBnf,,,,,,,5.1,5.1,5.1,,,,fl,Female,,Some college but no degree,"Spanish, Hispanic, or Latino",,Suburban community,,28,"Green Party,Independent",
R_uwwQEEHB0XRIOzf,,,,9,1.9,8.2,,,,,,,Kansas,Female,,Associate degree,White,,City or urban community,,54,Democratic party,
R_0pOwioY4ZfwP9qF,,,,,,,,,,5,9,1,AR,Female,,Some college but no degree,White,,Rural community,,41,Republican Party,
R_3PH1IoF9VzhkymQ,,,,8.2,2.9,9,,,,,,,Illinois,Female,,Bachelor degree,White,,Suburban community,,47,Republican Party,
R_6m3ABRSRa9dmokF,,,,,,,,,,9,2,9,New Jersey,Female,,Graduate degree,White,,Suburban community,,43,Independent,
R_2aUEzXLy7Uymi8S,6.1,3.1,7.4,,,,,,,,,,Michigan,Female,,Associate degree,White,,Suburban community,,32,Democratic party,
R_1ohackmQrMOxUZo,,,,,,,,,,9,4.7,8,Illinois,Male,,Bachelor degree,White,,Suburban community,,27,Democratic party,
R_ZxWypXWIyDyTpgl,,,,,,,3.7,6.1,6.4,,,,NH,Female,,Some college but no degree,White,,City or urban community,,20,Independent,
R_yO88HgmxgZFFUdP,1,5,8.6,,,,,,,,,,Florida,Female,,Associate degree,"Spanish, Hispanic, or Latino",,Suburban community,,27,Independent,
R_1LBw0njC9MQDkAc,,,,,,,1,9,9,,,,SC,Male,,Some college but no degree,White,,Suburban community,,26,Independent,
R_2w4PogoHiDB284d,1,9,1,,,,,,,,,,Ohio,Male,,Some college but no degree,White,,City or urban community,,38,Independent,
R_7WzI0MOTp9JZM8F,,,,,,,,,,4,5.2,9,NH,Female,,Graduate degree,White,,City or urban community,,31,Republican Party,
R_2wySIYrFZVMwraS,,,,,,,1,5.1,1,,,,Colorado,Female,,Some college but no degree,White,,City or urban community,,31,Democratic party,
R_81itudLKYDH62fn,,,,1,3,6.5,,,,,,,California,Male,,Some college but no degree,White,,City or urban community,,36,Independent,
R_31zWy77aqWXIMM9,,,,8.1,1.1,8.9,,,,,,,Colorado,Female,,Bachelor degree,White,,City or urban community,,34,Independent,
R_1OHrM6kzWMeTrIE,4,4,6,,,,,,,,,,Minnesota,Male,,Graduate degree,White,,Suburban community,,35,Independent,
R_cLMU2Kb1gOMp97j,,,,,,,2.7,8.6,4.1,,,,Colorado,Female,,Some college but no degree,White,,City or urban community,,33,Republican Party,
R_3PXJp2oXd1obXMx,,,,,,,,,,8.5,5.5,9,CA,Female,,Bachelor degree,Asian,,City or urban community,,35,Democratic party,
R_3aZUm7h2AKC9fZ7,,,,1.9,8.1,7.2,,,,,,,California,Male,,Graduate degree,White,,Suburban community,,40,Independent,
R_eLqnPfihjwV8bDP,,,,,,,1,6.2,6.1,,,,TN,Male,,Bachelor degree,White,,City or urban community,,77,Independent,
R_3hiqJ8Y2NHnAWa1,,,,,,,,,,6.5,3,8.8,ca,Male,,Graduate degree,White,,Suburban community,,37,Democratic party,
R_ZgUOcEXCWJsVg9r,,,,,,,1,7.3,4.1,,,,PA,Female,,Bachelor degree,White,,City or urban community,,23,Democratic party,
R_3IVL9V8dnM0lcoe,,,,8.6,1.7,4.7,,,,,,,Alabama,Male,,Bachelor degree,White,,Rural community,,24,Independent,
R_3FUQJEEgOGv2ngN,8.3,4,7.1,,,,,,,,,,Louisiana,Female,,Bachelor degree,White,,Suburban community,,30,Democratic party,
R_3pih3GbQORyyHyN,,,,1,9,1,,,,,,,NJ,Male,,Bachelor degree,White,,Suburban community,,63,Democratic party,
R_24pZ2TiJKsA6Gc2,,,,,,,9,9,9,,,,California,Female,,Bachelor degree,Black or African-American,,City or urban community,,35,Democratic party,
R_3HhaeXRlrcDWQeY,,,,,,,,,,8.3,2,9,Michigan,Female,,Bachelor degree,White,,Rural community,,48,Republican Party,
R_2vlcGQDOJkMG4yA,,,,6.5,3.6,9,,,,,,,Arkansas,Female,,Bachelor degree,White,,Rural community,,29,Democratic party,
R_ptLxhtJjcfvbjwt,,,,,,,1.3,6.8,3.5,,,,Georgia,Female,,Some college but no degree,White,,Suburban community,,52,Republican Party,
R_3mgErKnefLhavEs,,,,3.9,2.5,2.8,,,,,,,Virginia,Female,,Graduate degree,White,,Rural community,,27,Republican Party,
R_1Yrgan5n2k5M1JD,9,4.1,5.1,,,,,,,,,,MO,Female,,Bachelor degree,White,,City or urban community,,45,Other (please specify):,Socialist
R_UR3CmRMpbMmujPb,,,,,,,,,,1,7,8,South Carolina,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,31,Independent,
R_2CrZe6A10N7sDkx,8,3,7,,,,,,,,,,Pennsylvania,Male,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,38,Independent,
R_3HUCMisBZNkT12n,,,,,,,5,5,1.9,,,,Texas,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,59,Democratic party,
R_1gUgQ9U1RmRFxxA,,,,,,,,,,8.1,3.1,9,Arizona,Male,,Some college but no degree,White,,Suburban community,,67,Independent,
R_0PV7LIiH6GTDxst,4,5.9,7.2,,,,,,,,,,CA,Female,,Graduate degree,"White,Asian",,Suburban community,,27,Libertarian Party,
R_1mJ0CYxtfjzwR3p,,,,1.9,8.4,6.7,,,,,,,California,Female,,Associate degree,White,,Suburban community,,40,Republican Party,
R_8eM8QCIMrV9ZV4Z,,,,,,,,,,1,9,9,KY,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,54,Republican Party,
R_1gNp0kNpFJy3frr,9,8.8,8.7,,,,,,,,,,NYS,Male,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,43,Independent,
R_1hKlJO2rG53M6bD,,,,8.6,2.5,7.5,,,,,,,Virginia,Male,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,18,Republican Party,
R_3koLoiN3vaN5Z78,1.9,4.8,5.1,,,,,,,,,,sc,Female,,Some college but no degree,White,,Suburban community,,45,Republican Party,
R_2Y9Q59cxFAcFHi7,,,,,,,8.2,3.5,1.9,,,,oregon,Female,,Bachelor degree,White,,Suburban community,,54,Democratic party,
R_SP1Uk0P8Cxgcvg5,,,,2,5,3,,,,,,,California,Female,,Bachelor degree,Asian,,Suburban community,,32,Democratic party,
R_6DbQ1t2QxkVJtoR,,,,,,,8.2,7.4,8.3,,,,rhode island,Female,,Graduate degree,White,,Suburban community,,27,Democratic party,
R_2SHLc34k97yx9aX,9,1,9,,,,,,,,,,iowa,Male,,Associate degree,White,,City or urban community,,44,Republican Party,
R_3ssQb7asm3VGUYo,,,,,,,7.2,8.2,6.4,,,,WI,Female,,Bachelor degree,White,,Suburban community,,33,Independent,
R_2tG6vX6ZssYM74x,,,,,,,,,,7.9,2.5,3.4,Michigan,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,46,Republican Party,
R_1lv5hHJZZq6hyrz,,,,9,1,2.1,,,,,,,Tennessee,Male,,Bachelor degree,White,,Suburban community,,33,Democratic party,
R_3HCzvVc5mdBwT55,,,,,,,4.9,7.3,9,,,,NH,Female,,Bachelor degree,Asian,,Suburban community,,42,Independent,
R_2XiHjKCHavKT67x,,,,,,,,,,5.1,4.8,8,texas,Male,,Bachelor degree,White,,Suburban community,,24,Democratic party,
R_3KByWCf4yZpk1YN,9,1.4,9,,,,,,,,,,PA,Male,,Bachelor degree,"White,Asian",,Suburban community,,20,Democratic party,
R_30kGKF8ALLenjDi,1,9,7,,,,,,,,,,FL,Male,,Some college but no degree,"Spanish, Hispanic, or Latino",,Suburban community,,29,"Democratic party,Independent",
R_3jTJwen6PmYTmDv,9,7.1,5.9,,,,,,,,,,CA,Male,,Associate degree,White,,Rural community,,68,Independent,
R_2CK981UaZPTQ4x9,,,,9,1,9,,,,,,,NY,Male,,Bachelor degree,Asian,,Suburban community,,20,Republican Party,
R_2ONlNHB3RIQNACI,,,,6,5,2,,,,,,,New Mexico,Male,,Associate degree,"Spanish, Hispanic, or Latino",,Suburban community,,32,Independent,
R_1EdhefLAImF0mVA,,,,,,,,,,2.1,6.9,2.1,Tennessee,Female,,Some college but no degree,White,,Suburban community,,30,Democratic party,
R_3032i4ZirBD7j0r,,,,,,,7.6,8.1,7.4,,,,Ohio,Female,,Bachelor degree,White,,Suburban community,,28,Republican Party,
R_3nfwonkHpFFbeVQ,,,,9,2.5,7.5,,,,,,,virginia,Male,,Bachelor degree,White,,Rural community,,35,Democratic party,
